,1986,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
number,0,0,0,39,278,654,941,1180,1507,1889,2244,2598,2800,3204,3442,3717,4117,4501,4564,4798,5077,5384,5863,6663,7306,7461,7819,8064,8872,8946,9568,10223,12134,11176,11502,11838,12386,12180,204935
optical,0,0,0,0,31,86,293,498,738,1168,1597,2093,2335,2622,2969,3613,3739,4241,4690,4861,5026,5557,5839,6295,6723,7328,7633,8743,9181,9422,10086,10523,11638,11506,11644,12408,13493,15404,204023
distribution,0,0,0,0,101,503,955,1374,1753,2154,2704,3243,3343,3728,3930,4445,4766,5315,5137,5477,5924,5912,6430,6968,7211,7591,7772,8189,8406,8409,8563,9303,9895,9868,9672,10283,10977,11792,202093
parameters,0,0,0,16,170,449,792,1067,1314,1651,2005,2273,2641,2759,3116,3374,3628,3930,4273,4606,4958,5309,5844,6345,6753,7345,7519,8054,8239,8577,9356,9847,11180,11271,11439,12460,13595,14317,200472
emission,0,0,0,0,27,193,348,646,1077,1756,2580,3027,3438,3764,3874,4410,4935,4997,5802,5973,5901,6651,7286,7580,7608,7651,7566,8146,8385,8564,8537,8722,9471,9205,9277,10072,10516,12290,200275
due,0,0,0,12,172,447,726,938,1290,1730,2148,2483,2684,3038,3222,3414,3723,3948,4305,4702,4990,5239,5803,5964,6458,7042,7348,7984,8341,8615,9642,10058,10927,10957,11215,12362,13295,13143,198365
observations,0,0,0,0,33,141,351,598,966,1507,2135,2616,2992,3350,3405,4057,4140,4381,4873,5302,5452,6187,6516,6834,7090,7417,7190,7803,8158,8494,8786,9361,9691,9845,9864,10741,11598,13476,195350
simulations,0,0,0,0,126,325,515,679,926,1246,1501,1735,1943,2104,2297,2699,3002,3302,3501,3911,4346,4644,5058,5601,6177,6640,6965,7620,8225,8670,9543,9867,11732,11881,11832,12981,15160,18324,195078
within,0,0,0,9,135,398,649,1058,1412,1662,2164,2479,2755,3009,3230,3441,3654,3933,4166,4435,4790,5150,5626,5929,6387,6700,6927,7400,7815,7849,8554,8765,9652,9647,9734,11817,15105,17983,194419
obtained,0,0,0,27,338,745,1149,1487,1917,2291,2908,3498,3485,3945,4303,4543,4875,5082,5404,5807,5799,6176,6605,6853,7338,7414,7538,7971,8153,8198,8631,8704,9352,9144,8970,8992,8693,7792,194127
evolution,0,0,0,5,80,357,716,1010,1446,1903,2571,2734,2955,3111,3204,3656,3988,4159,4532,4862,5278,5721,5787,6441,6615,6816,7447,7605,7871,7762,8216,8726,9987,9851,9688,10546,11787,14140,191573
case,0,0,0,37,432,887,1299,1554,1880,2293,2685,3155,3501,3664,3941,4133,4656,4706,4837,5350,5527,5787,6340,6465,7013,7535,7479,8011,8096,8045,8571,8507,9310,8950,8855,9089,9020,8789,190399
may,0,0,0,20,270,621,975,1268,1533,2022,2576,2863,3165,3458,3707,4074,4327,4447,4824,4980,5269,5981,6079,6572,6692,7038,7420,7634,7739,7954,8256,8569,9302,9164,9131,9185,9670,9945,186730
work,0,0,0,16,100,245,365,450,560,702,851,1052,1116,1271,1391,1536,1908,2065,2289,2618,2709,3188,3490,3882,4433,5198,5704,6357,7118,7852,9112,10541,12346,13353,14404,16035,18621,22371,185249
black,0,0,0,79,436,710,1040,1106,1440,1924,2211,2217,2370,2529,2885,3078,3742,3807,4219,4506,4697,5157,5219,5445,5307,5743,5951,6863,7218,7290,7769,9247,10290,10066,10527,11657,12866,14215,183826
formation,0,0,0,0,75,268,455,725,978,1386,2208,2416,2734,2898,3078,3454,3709,4037,4262,4858,5028,5790,5978,6451,6709,6606,7192,7569,7719,7853,8365,8677,9478,9019,9195,9991,11316,12848,183325
surface,0,0,0,0,144,353,534,886,1067,1255,1720,1836,2136,2482,2453,2801,3178,3439,3606,3972,4288,4853,5733,6146,6314,7040,7586,8133,8969,9209,9667,10021,10647,10359,9509,10464,10413,11619,182832
range,0,0,0,0,105,382,604,882,1252,1515,1901,2313,2542,2727,2934,3220,3580,3809,4139,4475,4582,5165,5546,5863,6443,6784,7098,7456,7911,8341,8686,9217,9755,9869,9729,10305,10943,12154,182227
fields,0,0,0,55,444,844,1147,1598,1707,2011,2315,2758,3248,3198,3492,3640,3954,4070,4224,4656,5075,5105,5516,5778,6070,6603,6847,7219,7519,7489,8086,8373,8517,8852,8817,9526,10515,11495,180763
star,0,0,0,0,18,129,312,528,841,1389,2211,2499,2982,3304,3450,3695,4197,4575,5012,5753,5565,6235,6670,7134,7130,6980,7224,7407,7594,7966,8236,8310,8718,8141,8400,8521,9421,9836,180383
low,0,0,0,12,174,422,755,1086,1534,2004,2410,2823,3113,3267,3596,3957,4201,4250,4552,4821,4957,5339,5805,6070,6123,6633,6793,7075,7713,7768,8159,8455,8996,8861,8600,8876,9117,9650,177967
light,0,0,0,0,158,408,618,840,1129,1448,1648,2067,2268,2541,2621,2829,3294,3491,3679,4107,4032,4889,5067,5644,6112,6834,6967,7689,8059,8196,8701,8837,9896,10381,9772,10420,11094,11803,177539
measurements,0,0,0,0,56,183,367,496,740,1012,1257,1656,2066,2347,2539,3006,3153,3580,3638,3875,4461,4931,5090,5663,6244,7003,7132,7559,7838,8123,8664,9454,9706,10008,10149,10656,11521,13303,177476
equation,0,0,0,47,324,821,1088,1365,1605,1994,2480,2849,2858,3219,3470,3750,4113,4552,4484,4839,5055,5363,5861,5996,6596,6726,6938,7088,7397,7612,7689,8157,8738,8472,8178,8781,9186,9439,177130
