,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
specifically,0,0,0,0,0,0,0,0,0,0,9,12,12,12,29,37,49,67,103,158,206,290,392,519,621,884,1156,1661,2415,3550,5031,6160,7485,10710,15012,15288,71868
target,0,0,0,0,0,0,9,0,6,0,12,17,18,25,25,21,35,78,74,122,182,255,425,532,654,837,1310,2019,3298,4681,6788,7648,8828,10124,11373,12274,71670
agents,0,0,0,0,0,17,0,15,13,39,46,26,67,53,53,80,42,98,166,199,319,643,673,778,1138,1009,1280,1778,2630,3687,4984,5557,5759,7873,11961,20225,71208
context,0,0,0,0,26,37,22,33,16,10,27,36,56,32,51,64,103,152,180,281,382,550,630,869,892,1113,1647,2203,3148,4346,5580,6376,6467,8791,12193,14847,71160
provides,0,0,0,0,14,26,16,16,16,26,37,54,54,82,76,78,132,184,237,362,553,712,898,1109,1246,1390,1858,2388,3387,4202,5740,6111,6288,8028,10166,15633,71119
strategy,0,0,0,0,16,14,20,21,18,10,7,28,48,14,48,62,96,190,219,273,460,623,764,938,1115,1118,1456,1908,2655,3574,5018,5954,6897,8719,12142,16538,70963
numerical,0,0,0,0,0,0,0,6,18,45,55,66,46,74,67,72,81,174,194,245,394,593,757,1033,1181,1357,1650,1948,2784,5523,7178,7873,7840,8613,9922,11020,70809
online,0,0,0,0,12,12,0,0,11,9,18,31,34,31,49,42,82,107,133,237,434,669,988,1268,1506,1868,2302,2862,3560,4653,6720,6923,7323,8420,9749,10745,70798
previous,0,0,0,0,14,19,25,16,15,16,33,49,49,39,36,68,94,153,245,321,457,643,854,989,1119,1366,1898,2489,3518,4916,6146,6970,7992,9717,11265,8847,70378
limited,0,0,0,0,6,7,0,12,12,10,11,14,13,19,37,46,61,95,122,178,292,382,455,591,656,831,1213,1713,2460,3566,4889,5700,6516,9340,12824,17988,70059
important,0,0,0,0,14,15,12,9,17,28,51,64,57,61,89,74,157,169,242,431,715,840,1142,1456,1640,1812,2334,3089,4310,5547,7152,7596,7756,8258,8084,6761,69982
terms,0,0,0,0,16,25,20,18,18,45,45,51,64,50,60,96,150,237,292,501,726,864,1189,1408,1587,1953,2285,2882,3760,5076,6617,6867,7368,8479,9220,7992,69961
scheme,0,0,0,0,0,0,0,16,52,31,18,50,52,57,115,221,198,421,549,684,1142,1319,1540,1913,2004,2170,2514,3247,4071,5244,6605,6665,7021,7198,7543,7276,69936
challenge,0,0,0,0,0,0,0,0,0,0,6,9,10,19,7,10,14,40,39,68,154,188,266,365,483,646,954,1543,2490,3450,5086,5522,6115,9400,14529,18498,69911
point,0,0,0,0,22,8,8,13,21,20,45,33,45,60,73,118,136,205,264,328,575,670,860,1154,1183,1347,1701,2300,3335,4863,6605,7095,7893,8861,9970,10058,69869
quantum,0,0,0,0,0,0,24,0,86,118,90,163,168,199,265,330,290,234,382,456,785,801,990,1330,1358,1580,1622,1973,2618,3514,4884,5786,7166,8730,10735,13032,69709
outperforms,0,0,0,0,0,6,0,0,5,0,5,0,0,0,5,14,11,29,45,71,112,156,305,342,473,735,1241,1831,2869,4129,5528,6613,7444,9427,11694,16378,69468
application,0,0,0,0,20,32,17,24,34,39,69,82,61,134,131,115,183,251,297,436,798,810,1138,1411,1576,1682,2180,2656,3661,4642,5857,6318,6498,7672,10799,9739,69362
adversarial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,30,34,34,73,71,97,194,557,2134,4741,6827,8628,8736,8454,8917,9429,10263,69257
memory,0,0,0,0,0,0,0,5,21,9,13,30,35,62,52,57,145,219,151,255,348,509,613,743,973,1229,2081,2688,3598,4584,5486,5939,5956,7351,10720,15379,69251
natural,0,0,0,0,63,83,52,65,38,38,80,35,62,57,68,67,123,133,215,296,416,525,738,932,1069,1196,1674,2291,3116,4371,5669,6433,6961,9389,11033,11886,69174
social,0,0,0,0,0,0,0,0,0,0,0,33,17,11,26,41,57,135,149,237,614,1028,1595,1870,2364,2371,2868,3093,3783,4183,6340,6096,5922,7120,9145,9816,68914
cost,0,0,0,0,0,9,7,8,0,24,12,34,39,32,50,82,119,211,238,294,589,781,1123,1265,1465,1601,2086,2677,3404,4741,6126,6709,7125,7662,8597,11712,68822
processing,0,0,0,0,67,85,55,71,27,39,40,29,30,80,73,64,107,176,195,340,456,595,842,1044,1247,1520,2009,2619,3395,4220,5652,6248,6449,8042,11197,11529,68542
properties,0,0,0,0,10,21,22,17,23,45,59,71,110,96,133,174,251,327,450,523,916,1130,1412,1672,1769,2118,2320,2871,3607,4774,5886,6254,6683,7349,8368,9059,68520
test,0,0,0,0,15,10,25,24,12,30,31,43,28,43,54,34,60,216,172,188,305,358,705,710,904,1101,1454,2277,3391,4916,6375,7366,7307,8653,10292,11312,68411
find,0,0,0,0,6,0,10,14,17,18,37,44,50,73,44,105,135,182,225,352,576,804,1038,1212,1361,1615,1916,2496,3506,4619,6307,6940,7593,8514,9103,8976,67888
finally,0,0,0,0,8,17,14,8,23,22,35,41,44,51,60,92,131,193,238,322,556,664,899,1112,1289,1531,1940,2444,3235,4590,6098,6855,7594,8359,9326,9463,67254
real,0,0,0,0,8,9,0,6,19,10,34,38,45,42,66,86,128,148,232,334,542,727,957,1157,1320,1565,2036,2766,4015,5122,6435,6647,7015,7803,8507,9356,67175
size,0,0,0,0,6,8,13,12,25,31,35,40,65,71,80,160,230,280,380,529,804,1040,1389,1683,1829,2014,2331,2996,3622,4592,5554,5821,6225,7345,8666,9179,67055
computing,0,0,0,0,8,7,11,8,20,29,54,82,61,149,171,139,211,213,318,516,676,902,1277,1584,1686,1870,2203,2773,3768,4567,5859,6074,6263,7386,8921,9107,66913
random,0,0,0,0,0,0,7,0,10,27,62,49,76,99,126,182,311,403,619,715,1143,1353,1835,1960,2112,2537,2794,3234,3991,4947,5714,5698,5635,6100,7240,7620,66599
class,0,0,0,0,13,22,28,12,38,62,48,67,64,101,90,180,223,275,414,469,769,1086,1302,1469,1671,1870,2118,2724,3591,4616,5825,6334,6590,7404,7692,8398,65565
conditions,0,0,0,0,7,7,11,0,17,25,26,38,60,47,40,73,123,216,229,379,477,718,936,1100,1099,1312,1634,2022,2683,3733,5233,5546,5719,7374,10138,14449,65471
learn,0,0,0,0,0,8,0,0,0,5,7,7,10,9,10,17,8,17,29,57,108,153,283,321,465,825,1414,2357,3827,5462,7059,7877,8451,9001,8964,8101,64852
distributed,0,0,0,0,0,8,0,0,22,21,64,48,59,129,138,134,202,356,476,620,966,1224,1611,1870,2029,2240,2790,3340,3929,4686,5728,5748,5542,5967,6828,7699,64474
solutions,0,0,0,0,0,6,0,13,18,29,44,33,51,74,59,74,107,208,213,307,485,610,718,1039,1143,1261,1544,2048,2926,4092,5715,6215,6487,7866,9889,10879,64153
global,0,0,0,0,0,0,0,7,7,19,19,40,29,54,36,64,78,112,130,250,369,547,597,771,805,1021,1433,1815,2494,3469,4943,5912,6843,7966,10306,13708,63844
generate,0,0,0,0,11,7,8,6,9,7,17,13,19,19,26,36,25,62,64,109,183,224,308,366,459,585,985,1626,2559,3656,4867,5547,6441,9644,12329,13530,63747
generative,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,10,29,43,113,113,175,315,626,1540,2687,3739,4329,4728,5246,9530,13582,16892,63719
furthermore,0,0,0,0,0,7,6,8,7,11,17,20,16,30,30,45,66,129,132,172,291,386,514,668,820,969,1288,1806,2485,3562,4702,5293,6148,9109,12014,12909,63660
future,0,0,0,0,0,0,0,6,8,10,10,26,18,41,32,30,50,69,108,140,189,263,428,549,695,881,1196,1695,2484,3466,4709,5785,6322,8745,11859,13813,63627
standard,0,0,0,0,20,12,12,11,27,23,47,63,55,57,78,84,115,170,231,287,460,632,834,1017,1248,1412,1854,2308,3373,4441,5538,6042,6207,6812,7963,12165,63598
source,0,0,0,0,9,0,0,0,26,0,16,40,25,44,50,93,177,286,341,376,598,711,929,945,1148,1374,1600,2302,3269,4164,5577,6560,7164,8013,8749,8999,63585
dynamics,0,0,0,0,0,0,0,0,7,11,21,13,31,17,32,43,62,84,175,194,364,563,786,796,955,1049,1298,1873,2567,3537,4986,5753,6014,7173,10197,14976,63577
constraints,0,0,0,0,30,48,29,31,25,19,68,74,62,42,97,137,140,224,274,461,601,793,857,1179,1197,1446,1794,2136,2859,3768,5099,5242,5690,7162,8701,13215,63500
temporal,0,0,0,0,0,23,0,0,0,19,22,14,16,25,17,34,41,72,92,107,217,337,483,651,685,981,1322,1855,2635,3531,4747,5669,6179,7570,10449,15528,63321
studies,0,0,0,0,0,6,0,5,0,10,16,21,27,30,32,38,58,81,121,166,290,327,506,656,778,962,1247,1714,2559,3689,5194,6132,6731,8604,10992,12275,63267
particular,0,0,0,0,24,26,31,30,40,60,55,70,101,104,101,148,207,292,377,536,773,1045,1285,1614,1749,1961,2272,2943,3600,5034,6109,6379,6481,6851,6838,6077,63213
field,0,0,0,0,0,6,15,8,8,25,28,33,23,53,52,57,93,174,194,265,426,520,663,826,915,1037,1450,1920,2550,3751,4940,5748,6602,9197,11585,9977,63141
small,0,0,0,0,12,12,13,8,25,35,44,46,54,69,51,91,123,178,268,386,566,731,943,1190,1419,1696,2151,2676,3409,4661,5635,5888,6010,7130,7937,9681,63138
development,0,0,0,0,15,16,14,17,24,19,31,66,47,72,84,38,130,146,189,237,476,420,767,842,1158,1034,1233,1707,2419,3166,4433,5411,5525,8066,12075,13260,63137
known,0,0,0,0,9,9,0,8,30,39,39,63,80,95,103,191,272,316,447,672,1002,1188,1524,1795,1900,2126,2462,2878,3614,4423,5480,5639,5836,6468,7121,7158,62987
need,0,0,0,0,6,17,7,9,11,7,27,33,25,49,47,58,69,104,144,225,356,427,611,763,878,980,1378,1930,2691,3688,4918,5578,5836,7921,11480,12671,62944
multimodal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,25,13,21,25,34,45,73,98,171,343,677,1175,1496,2310,3256,4358,8114,15559,25064,62875
designed,0,0,0,0,0,11,13,10,11,11,15,23,21,36,29,46,65,93,126,155,308,326,458,544,657,802,1065,1551,2196,3119,4043,4615,5160,7551,13032,16510,62602
noise,0,0,0,0,0,0,0,0,10,0,25,9,10,11,26,70,82,176,247,278,428,538,823,1116,1081,1312,1711,2138,2794,3841,5068,5727,5988,7523,9372,12100,62504
diverse,0,0,0,0,0,0,0,0,0,0,0,6,9,13,0,11,6,15,25,41,66,94,139,149,216,319,462,718,1170,1677,2432,3400,4188,8217,15020,23382,61775
consider,0,0,0,0,10,6,7,7,32,28,48,45,59,76,88,147,240,325,459,630,929,1301,1523,1783,1982,2209,2540,3074,3746,4897,5893,5859,6134,6288,6070,4635,61070
simulation,0,0,0,0,0,0,0,0,21,9,36,36,39,39,67,98,98,196,292,345,724,669,970,1203,1215,1366,1713,2200,2798,3877,5183,5531,5887,6856,8621,10939,61028
thus,0,0,0,0,9,8,11,13,22,25,36,35,33,31,48,96,137,194,239,282,521,681,845,1034,1188,1355,1782,2376,3289,4273,5788,6667,7051,7866,8220,6850,61005
software,0,0,0,0,0,0,13,0,24,21,31,104,53,154,121,77,150,187,199,348,732,655,1111,1314,1909,1583,1757,2513,3331,3777,4674,6017,5374,6692,8226,9819,60966
accurate,0,0,0,0,9,12,0,5,8,17,11,9,11,13,6,30,31,82,66,116,179,267,400,430,588,759,1094,1652,2504,3545,4956,5507,5903,7905,10779,14064,60958
traditional,0,0,0,0,0,9,0,5,11,8,22,24,12,25,23,37,56,90,101,156,268,336,430,631,700,859,1202,1635,2326,3161,3865,4251,4564,6608,12536,16350,60301
channel,0,0,0,0,0,0,0,0,0,9,0,8,11,20,74,320,430,844,1066,1334,1979,2004,2187,2329,2638,2775,3040,3247,3445,3733,4243,4676,4515,4483,5233,5439,60082
robustness,0,0,0,0,0,7,0,0,0,6,6,6,0,5,15,19,27,52,100,110,143,219,283,389,371,477,637,991,1765,3128,4553,5390,6291,7920,11076,15961,59947
theory,0,0,0,0,41,61,39,24,71,75,139,93,140,172,180,201,280,361,595,669,895,1221,1492,1915,1763,2046,2151,2516,3198,3857,4673,5132,4878,5786,6852,8200,59716
reinforcement,0,0,0,0,0,0,0,0,0,9,0,0,12,8,0,0,8,7,20,28,55,85,129,131,136,236,589,1354,2530,4146,5542,6042,6680,7744,9254,14738,59483
samples,0,0,0,0,0,0,0,0,0,7,0,0,12,20,10,0,25,31,66,95,174,189,334,405,491,764,1056,1576,2609,3767,5073,6021,7380,8788,9765,10550,59208
best,0,0,0,0,10,12,8,12,23,12,44,43,37,46,34,72,76,167,220,303,492,694,849,1069,1258,1352,1874,2447,3378,4413,5590,6165,6395,6931,7264,7654,58944
allows,0,0,0,0,13,31,22,13,22,25,44,52,65,97,92,91,135,191,254,327,538,715,976,1116,1296,1484,1922,2407,3287,4454,5492,5771,5962,6954,7938,7084,58870
spatial,0,0,0,0,0,0,0,0,0,0,0,16,24,15,36,34,45,100,131,145,255,358,484,659,773,957,1349,1780,2435,3233,4441,5055,5225,6567,9197,15240,58554
technique,0,0,0,0,15,23,22,17,17,26,41,42,45,41,87,106,89,224,271,504,892,815,1260,1423,1548,1544,1896,2505,3217,4202,5372,5474,5632,6632,7814,6736,58532
strategies,0,0,0,0,0,7,11,11,9,6,16,26,75,18,39,47,100,165,201,237,382,585,666,815,950,926,1168,1462,2083,2625,3734,4257,4837,6515,10382,16159,58514
policy,0,0,0,0,0,0,0,0,13,0,15,88,0,12,19,10,50,51,112,130,225,306,525,476,488,726,1042,1634,2537,3884,5317,5628,5981,7067,8450,13653,58439
practical,0,0,0,0,7,10,11,17,6,14,23,36,33,27,39,66,93,140,178,236,330,497,663,773,877,1102,1276,1628,2184,2905,3676,4506,4764,6436,9392,16026,57971
support,0,0,0,0,10,14,12,13,23,18,25,66,48,82,77,65,99,151,185,300,482,574,752,913,980,1237,1519,1914,2594,3343,4551,4930,5174,6194,8333,13242,57920
prior,0,0,0,0,0,5,0,0,0,12,10,10,10,12,16,26,24,54,59,113,164,244,427,498,561,752,1079,1531,2260,3276,4543,5261,5875,7762,9385,13423,57392
develop,0,0,0,0,6,0,8,7,14,0,20,28,26,35,47,63,67,114,154,214,372,488,658,830,1026,1185,1515,2126,2744,3814,5104,5750,5893,6922,8449,9696,57375
specific,0,0,0,0,11,14,15,16,12,9,23,28,31,35,50,56,79,124,141,216,321,375,591,730,916,940,1341,1756,2481,3241,4226,4791,5336,7486,11225,10751,57367
among,0,0,0,0,15,17,10,11,11,13,24,44,47,48,60,66,90,163,197,280,495,605,843,970,1183,1347,1566,2106,2912,3590,5067,5678,5643,6898,8487,8804,57290
critical,0,0,0,0,0,0,0,0,0,11,17,17,13,13,29,33,47,93,99,126,216,286,377,447,471,585,761,1093,1603,2295,3215,3851,4071,5914,10531,20965,57179
matrix,0,0,0,0,0,0,0,0,17,30,19,20,40,46,47,114,153,187,329,533,760,992,1311,1578,1807,2214,2421,2864,3262,4324,5164,5081,5163,5471,6511,6568,57026
generalization,0,0,0,0,9,13,0,0,7,13,14,20,28,31,27,39,64,96,100,132,219,262,359,465,453,517,706,979,1741,2775,3945,5018,6144,7861,10221,14700,56958
generated,0,0,0,0,9,11,11,8,14,11,18,34,24,31,42,61,76,81,108,124,284,290,455,509,563,696,1052,1587,2465,3450,4489,4970,5420,8149,10734,11172,56948
adaptive,0,0,0,0,0,0,0,0,0,9,19,25,14,15,42,68,42,81,122,174,371,413,568,838,764,973,1089,1482,2100,3287,4338,4794,5239,6090,8620,15321,56898
applied,0,0,0,0,14,19,16,17,13,28,42,36,40,57,74,74,108,182,202,283,475,563,788,1055,1055,1227,1639,2101,3075,4246,5624,6072,6063,6581,7304,7772,56845
moreover,0,0,0,0,0,7,5,0,0,14,19,16,19,23,44,40,80,111,163,208,338,455,577,758,836,1070,1329,1857,2538,3630,4900,5724,6277,7846,9076,8685,56645
shown,0,0,0,0,19,20,17,11,44,27,57,44,62,63,67,183,194,354,466,594,791,853,1079,1340,1371,1568,1875,2369,3057,3939,4856,5220,5652,6507,7020,6894,56613
mechanism,0,0,0,0,10,14,0,0,27,0,15,21,33,34,41,58,51,116,160,219,427,517,649,730,894,891,1204,1538,2330,3329,4224,4776,5467,6495,8869,13402,56541
diffusion,0,0,0,0,0,0,0,0,0,0,0,6,0,12,8,7,12,17,32,42,74,170,267,300,375,403,440,494,658,852,1060,1371,2765,10499,16548,20113,56525
environments,0,0,0,0,0,0,0,0,0,7,10,18,27,30,18,44,47,71,83,133,190,207,320,377,432,535,803,1212,1871,2734,3634,4475,4956,6701,10898,16682,56515
attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,39,41,48,105,155,284,239,377,378,509,595,809,1374,2579,3686,5306,5654,6140,7681,9688,10696,56428
speech,0,0,0,0,68,28,62,49,30,19,57,17,21,18,17,24,19,27,9,41,85,59,151,285,300,457,874,1448,2477,3358,5149,6199,7573,7930,9207,10326,56384
effectively,0,0,0,0,0,0,0,0,5,7,7,9,0,11,10,15,29,31,35,71,138,161,229,269,348,429,606,1036,1518,2171,2987,3615,4121,7566,13827,16977,56228
security,0,0,0,0,0,0,0,0,0,15,19,67,14,44,67,93,130,133,170,411,673,612,935,1047,1176,1220,1524,2093,2882,3641,4597,4723,5056,5989,8098,10585,56014
ability,0,0,0,0,7,0,6,0,7,0,12,17,9,17,30,29,41,52,61,89,190,177,283,401,471,600,853,1189,1848,2675,3737,4469,5196,8375,11970,13192,56003
behavior,0,0,0,0,7,6,13,0,16,20,29,43,37,37,64,67,90,162,200,237,435,582,731,887,1046,1058,1375,1730,2542,3290,4429,4861,5025,6421,8223,11931,55594
convergence,0,0,0,0,0,0,0,0,10,10,15,35,20,30,44,46,56,83,134,178,275,458,628,762,792,1067,1204,1614,2517,3982,5450,5766,6003,6463,7871,10064,55577
objects,0,0,0,0,9,0,0,0,15,12,21,39,33,35,50,63,106,123,114,193,235,351,514,597,737,1045,1447,2038,2846,3763,4726,5341,6197,7757,9042,8114,55563
privacy,0,0,0,0,0,0,0,0,0,0,0,27,0,13,0,0,12,20,77,140,231,345,463,458,680,711,1099,1522,2227,2970,4668,5039,6289,7552,9699,11050,55292
like,0,0,0,0,7,10,8,9,6,15,26,33,29,33,56,56,81,91,142,223,381,414,638,689,893,928,1103,1485,2062,2685,3668,4086,4323,6791,11225,12882,55078
focus,0,0,0,0,11,6,9,8,11,6,14,16,23,23,40,42,67,96,137,181,294,390,465,678,774,895,1167,1622,2202,3153,4369,5033,5652,7132,9683,10799,54998
codes,0,0,0,0,0,0,0,0,0,29,29,31,64,99,109,559,554,788,895,904,1280,1369,1866,2032,1800,2302,2534,2941,2859,3325,3544,3996,4176,4712,5633,5338,53768
identify,0,0,0,0,5,9,0,9,8,11,10,15,15,24,33,44,52,59,98,146,268,331,474,624,709,844,1131,1545,2252,2997,4220,4744,5113,6808,8993,11691,53282
perform,0,0,0,0,0,7,12,0,11,7,15,14,21,42,37,39,61,71,96,141,246,297,492,592,721,903,1311,1921,2791,3912,4990,5585,6261,7075,7689,7612,52972
bound,0,0,0,0,0,9,0,0,29,33,28,61,79,71,89,180,313,355,575,776,1023,1282,1529,1720,1859,2177,2314,2614,2866,3596,4296,4272,4508,5116,5266,5795,52831
motion,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,28,22,52,35,60,122,146,189,276,420,585,1148,1553,2300,2896,3973,4413,5295,7135,9675,12307,52664
lower,0,0,0,0,5,0,9,0,25,42,23,59,52,79,51,124,152,233,366,470,664,795,1087,1269,1444,1739,2031,2387,2755,3380,4425,4469,4708,5432,6296,7799,52370
theoretical,0,0,0,0,0,9,7,10,6,11,29,23,38,33,38,60,74,127,137,238,333,506,759,801,863,1117,1371,1660,2293,3121,4170,4573,4900,5929,8149,10966,52351
way,0,0,0,0,13,17,18,19,26,36,44,54,75,76,87,107,117,194,242,353,567,703,898,1098,1159,1343,1728,2140,2970,3867,4862,5209,5414,6116,6567,6031,52150
recently,0,0,0,0,0,7,0,0,10,19,26,18,32,28,61,78,90,131,177,261,408,540,681,840,946,1172,1604,2010,2745,3941,4908,5514,6033,6755,6977,6119,52131
approximation,0,0,0,0,0,0,0,0,23,26,33,22,44,49,64,58,142,172,252,395,651,842,1176,1344,1359,1615,1881,2133,2929,4113,4875,4925,4859,5657,5996,6428,52063
level,0,0,0,0,17,8,11,9,17,39,30,41,43,57,70,69,127,182,161,314,504,634,813,1018,1213,1314,1739,2073,2981,3612,4689,5061,5003,5888,6829,7483,52049
largescale,0,0,0,0,0,0,0,7,0,0,6,12,16,15,15,26,24,31,45,76,110,176,281,395,504,795,1007,1551,2052,2807,3649,4438,5141,6750,8678,13388,51995
types,0,0,0,0,21,25,12,10,21,16,38,40,47,32,53,85,122,135,151,202,373,503,679,799,861,1095,1455,1790,2567,3492,4304,4927,5193,6448,7960,8344,51800
environment,0,0,0,0,0,8,0,11,12,13,24,65,35,67,80,54,89,141,166,275,405,473,642,707,834,904,1106,1715,2753,3628,4661,5369,5888,6708,7489,7420,51742
domains,0,0,0,0,6,16,22,17,14,14,16,26,36,39,33,20,52,86,51,101,158,291,323,414,447,533,855,1305,1954,2927,3968,4526,4979,6714,9469,12309,51721
called,0,0,0,0,24,21,18,16,24,27,47,42,64,67,74,67,150,201,237,335,548,674,906,1115,1191,1416,1637,2184,2984,3831,4802,5037,5495,6852,6852,4694,51632
vision,0,0,0,0,0,0,0,0,0,0,0,8,0,9,5,15,18,18,25,58,85,86,152,264,378,594,876,1287,1861,2429,2996,4673,5954,7770,10307,11652,51520
enables,0,0,0,0,0,6,0,7,9,9,8,11,15,19,9,21,42,44,72,83,172,196,283,357,462,580,903,1224,1785,2356,3327,3811,4148,6192,8786,16429,51366
developed,0,0,0,0,23,22,18,20,26,33,35,49,63,99,68,96,103,185,256,297,501,585,776,981,1116,1184,1396,1871,2550,3427,4562,5036,5263,5966,7450,7229,51286
impact,0,0,0,0,0,0,0,0,6,0,0,16,11,7,18,39,70,103,113,189,281,304,512,707,807,961,1109,1370,1957,2674,3858,4426,4714,6894,9911,10110,51167
low,0,0,0,0,0,0,6,0,16,19,16,17,14,21,31,70,105,164,215,263,497,475,787,834,1057,1234,1615,2076,2778,3727,4707,4922,5227,5670,6974,7613,51150
patterns,0,0,0,0,14,8,13,0,15,11,22,17,38,36,42,62,98,117,106,234,331,402,511,793,862,1063,1261,1779,2199,2809,3890,3933,4019,5469,7783,12764,50701
second,0,0,0,0,14,13,10,9,26,21,51,42,52,62,50,94,120,198,236,346,545,610,797,969,1092,1259,1559,2097,2698,3547,4644,4957,4967,5471,6259,7749,50564
setting,0,0,0,0,0,0,0,0,10,9,19,24,25,15,23,37,71,79,127,231,299,461,673,713,907,955,1355,1681,2424,3417,4696,5486,5818,6595,6863,7432,50445
sampling,0,0,0,0,0,0,0,0,0,0,0,7,10,8,20,34,25,71,140,186,317,388,630,779,855,1071,1146,1649,2230,3008,3873,4310,4917,6392,7992,10354,50412
selection,0,0,0,0,21,0,16,15,8,10,15,51,34,19,32,77,52,148,159,245,369,533,840,879,1127,1130,1360,1732,2408,3090,4072,4101,4529,5626,7637,10017,50352
metrics,0,0,0,0,0,0,0,0,0,0,0,6,0,12,10,22,29,27,77,83,137,204,342,437,521,607,822,1125,1813,2463,3508,4155,4880,6395,9481,13103,50259
nodes,0,0,0,0,0,0,0,0,0,7,13,29,35,60,78,120,149,313,419,621,1144,1406,1867,1827,1920,2023,2103,2503,2961,3723,4251,4177,4147,4485,4790,5051,50222
computation,0,0,0,0,14,5,8,14,23,34,47,38,55,78,93,79,139,172,216,317,519,627,859,1133,1111,1332,1637,2050,2934,3617,4490,4716,5058,5471,6009,7237,50132
presents,0,0,0,0,28,25,27,27,34,27,31,36,50,47,57,64,102,181,214,253,412,438,617,711,857,954,1144,1512,1964,2576,3380,3664,3848,6143,9034,11615,50072
convolutional,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,28,25,67,40,41,101,54,67,121,393,1050,2114,3679,5297,5901,6353,6062,5103,4366,4688,4344,49918
possible,0,0,0,0,25,22,19,17,34,22,50,65,68,93,83,95,181,284,328,434,693,841,1118,1340,1369,1501,1900,2375,3183,3894,4849,4977,5131,5479,5134,4237,49841
capabilities,0,0,0,0,0,0,0,0,7,0,9,12,7,16,27,19,35,39,38,71,93,106,154,231,227,320,466,612,855,1218,1638,1974,2417,6418,14086,18698,49793
content,0,0,0,0,5,10,0,7,8,13,8,41,22,22,44,60,67,51,93,177,293,291,525,604,736,935,1416,1638,2161,2443,3168,3637,3764,6047,9381,12041,49708
range,0,0,0,0,0,10,5,8,12,12,20,22,21,37,42,47,57,92,131,228,333,487,612,676,757,955,1272,1659,2253,2968,3979,4396,4804,6577,8144,8822,49438
probability,0,0,0,0,15,0,14,14,28,46,48,35,58,83,95,166,216,350,406,536,847,1032,1422,2028,1782,1819,2076,2583,2964,3420,4294,4128,4229,4568,4927,5200,49429
sparse,0,0,0,0,0,0,8,0,8,0,12,0,8,8,18,29,41,90,155,290,555,661,1055,1360,1295,1617,1819,2033,2573,3168,3911,4073,4435,5136,6263,8723,49344
comprehensive,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,15,13,13,20,36,69,111,146,185,293,281,403,640,943,1414,2196,2781,3230,7118,13420,15953,49301
common,0,0,0,0,0,11,13,8,13,16,31,35,30,39,41,59,92,138,155,276,425,575,702,816,1022,1132,1457,1874,2597,3576,4461,4795,5059,5774,6878,6982,49082
prove,0,0,0,0,0,0,6,0,33,52,35,47,52,79,79,134,204,231,437,476,778,1023,1300,1398,1529,1727,1852,2234,2721,3460,4420,4455,4584,4902,5245,5558,49051
cases,0,0,0,0,10,21,10,6,27,17,29,43,41,49,64,83,126,180,198,293,503,584,774,980,972,1096,1444,1827,2426,3066,4669,4791,4659,5590,6512,7726,48816
transfer,0,0,0,0,10,11,9,0,11,0,0,11,6,16,19,13,39,50,51,80,125,170,266,358,407,585,777,1573,2513,3586,4962,5633,5821,6469,7117,8029,48717
bounds,0,0,0,0,0,0,0,0,15,32,31,48,45,89,71,196,260,286,478,585,856,1036,1353,1616,1610,1849,2253,2354,2534,3296,4022,4068,4208,4524,4921,6017,48653
stochastic,0,0,0,0,13,0,10,6,8,11,34,21,15,23,19,61,74,107,124,211,358,587,746,1007,1105,1386,1695,2252,2935,3881,4929,4927,4996,5171,5609,6279,48600
gradient,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,9,8,18,23,33,102,144,220,384,441,677,981,1593,2809,4087,5177,5232,5299,5931,7098,8215,48501
synthetic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,9,18,18,35,70,126,261,288,349,452,701,1148,1856,2591,3386,3993,4914,6743,9205,12215,48394
access,0,0,0,0,0,6,0,0,15,22,11,106,30,93,50,89,155,253,276,339,670,724,966,1112,1243,1468,1847,2167,2664,3246,3948,4150,4190,5034,5912,7510,48296
average,0,0,0,0,7,0,7,0,5,10,16,20,36,37,43,57,113,162,167,290,426,583,700,850,886,1101,1256,1699,2359,2992,3908,4158,4447,5349,7039,9262,47985
strong,0,0,0,0,0,0,0,0,11,12,20,12,14,28,16,62,72,90,158,234,298,438,503,583,719,797,942,1341,1780,2515,3299,3606,4228,5046,6784,14062,47670
pretrained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,72,171,369,706,1622,3078,4761,6512,9350,10736,10269,47669
enhance,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,7,6,24,23,49,91,97,142,180,219,318,380,505,791,1200,1760,2184,2592,6242,14266,16522,47618
