,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
accuracy,0,0,0,0,23,17,25,21,27,13,54,36,34,42,31,23,48,112,144,157,371,410,715,1015,1217,1779,2666,4184,6781,9858,13385,14725,15799,19501,28037,39805,161055
design,0,0,0,0,12,17,17,12,51,34,46,67,88,99,114,128,289,674,521,632,1182,1304,1902,2258,2490,2897,3580,4820,6817,9073,12545,14402,16151,19324,24166,31529,157241
task,0,0,0,0,17,25,25,29,29,18,36,27,52,41,65,63,53,98,124,183,325,509,779,864,1230,1560,2983,4552,7337,10428,14592,16118,18297,22137,26227,28233,157056
number,0,0,0,0,30,34,29,23,89,80,140,148,194,246,243,352,529,852,1066,1495,2372,2891,3725,4594,4868,5609,6482,8114,9555,11833,14436,14486,14257,15619,16320,14917,155628
features,0,0,0,0,19,25,16,26,25,17,44,32,50,41,58,58,72,115,136,274,544,694,913,1361,1741,2534,3937,5522,7837,10634,14067,15475,17261,20168,24671,27253,155620
applications,0,0,0,0,21,19,18,32,44,34,63,105,102,152,170,173,254,423,421,671,1199,1305,1836,2136,2517,2985,3872,5311,7406,9610,12349,13758,14275,18333,24019,26123,149736
images,0,0,0,0,0,0,0,0,0,0,11,0,7,0,29,32,58,73,123,172,425,486,685,920,1176,1956,3204,5478,8449,11007,14128,14788,16453,21182,25793,23033,149668
set,0,0,0,0,52,51,58,54,58,90,146,151,182,155,183,259,452,603,833,1105,1709,2363,2856,3550,3717,4362,5261,6609,8553,10779,13625,14152,14457,15942,16565,15931,144863
research,0,0,0,0,15,12,19,13,35,30,33,63,42,47,82,66,99,190,266,406,727,728,1169,1625,1732,2078,2736,3722,5840,7423,10690,12908,13863,19945,28335,29445,144384
optimization,0,0,0,0,0,8,0,0,9,21,27,41,56,49,66,94,127,264,293,444,781,946,1484,1891,2214,2726,3291,4419,6158,8843,11900,12325,13613,16068,22278,30920,141356
knowledge,0,0,0,0,65,59,46,34,31,26,90,70,86,58,99,103,159,214,276,393,678,803,1125,1562,1478,1760,2540,3377,5095,7532,10631,12584,14697,19550,26125,29775,141121
stateoftheart,0,0,0,0,0,0,0,0,5,0,8,0,0,5,0,10,10,12,30,65,108,171,355,457,830,1458,2607,4078,6591,9864,12777,14762,16103,19383,22915,27858,140462
across,0,0,0,0,0,0,0,5,5,0,23,15,11,19,22,20,39,48,68,94,175,215,330,551,631,806,1224,1918,2825,4138,6141,7284,8371,14381,31507,59106,139972
control,0,0,0,0,0,16,20,9,68,28,35,111,50,81,84,101,170,273,457,465,897,1332,1553,2054,2199,2575,3255,4505,6039,8913,12487,13049,14330,16649,20257,26866,138928
problems,0,0,0,0,30,34,33,29,90,109,142,153,154,226,218,282,344,463,656,942,1549,2035,2444,3006,3401,3769,4466,5557,7271,10022,12579,13219,13853,15123,16297,16421,134917
provide,0,0,0,0,17,34,17,9,40,53,49,67,83,99,104,144,227,309,448,679,1092,1328,1869,2182,2582,3001,3753,4901,6799,8905,11837,13105,13721,16679,18767,20675,133575
introduce,0,0,0,0,7,13,10,0,16,25,29,38,52,59,68,77,131,155,199,313,507,710,943,1183,1270,1655,2264,3033,4366,6036,7821,9034,9901,15598,27431,40255,133199
process,0,0,0,0,24,26,27,23,15,17,53,93,55,85,127,135,259,323,418,614,947,1273,1768,1870,2161,2485,3103,4213,5845,7997,10393,11772,12642,16730,23035,24485,133013
approaches,0,0,0,0,12,38,17,35,29,11,58,35,38,45,66,67,88,131,204,266,521,692,995,1304,1486,1849,2599,3938,5919,8237,11162,12470,13015,15754,20002,28125,129208
multiple,0,0,0,0,15,14,15,17,15,15,22,49,43,69,45,104,178,254,352,514,758,933,1347,1549,1888,2367,3200,4335,5998,8177,10548,11882,12932,16026,20468,25043,129172
efficient,0,0,0,0,21,25,38,27,37,33,58,56,76,81,92,127,201,306,405,569,998,1249,1879,2062,2214,2596,3340,4008,5702,7363,9401,10355,11305,14511,20211,27251,126597
classification,0,0,0,0,0,13,26,11,10,9,18,18,30,46,48,93,57,101,191,222,401,532,887,1096,1412,2117,3196,4757,7322,10051,12884,13965,14360,15511,18048,18990,126422
code,0,0,0,0,0,6,0,0,12,20,42,48,57,87,67,204,252,411,483,440,841,716,1075,1190,1324,1540,1910,2649,3733,5167,7128,9640,12019,17432,25316,30697,124506
generation,0,0,0,0,35,30,23,46,19,15,30,37,28,35,42,32,47,85,107,119,279,268,419,466,624,789,1267,1901,2903,4522,6366,7338,9343,16199,28560,40710,122684
machine,0,0,0,0,39,38,57,28,27,22,30,43,26,54,69,49,77,125,121,204,306,416,630,821,1146,1538,2647,3884,6530,9513,12662,13666,14566,15961,18222,17458,120975
various,0,0,0,0,22,9,12,17,30,22,33,49,47,64,61,91,137,208,216,327,654,736,1068,1280,1397,1667,2094,3062,4406,5941,8366,10016,11747,18309,27120,19615,118823
