,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
positive,0,0,0,10,38,58,64,90,111,194,271,252,345,437,573,665,820,942,1183,1276,1470,1845,1987,2500,2817,2982,3404,3489,3619,3917,4095,4388,4212,4116,4454,4677,4977,66278
obtained,0,0,7,21,57,89,85,150,165,268,270,406,395,468,553,721,900,1077,1269,1398,1643,2044,2254,2794,2950,2927,3201,3415,3574,3782,3889,4279,4155,4349,4333,4366,4020,66274
differential,0,0,0,57,96,146,152,227,217,298,347,434,430,465,573,677,880,984,1354,1317,1362,1760,2042,2323,2604,2762,2976,3124,3399,3510,4106,4403,4089,4166,4696,5049,5137,66162
optimization,0,0,0,0,0,0,0,0,0,0,30,13,25,23,39,48,92,114,177,204,372,587,725,1037,1492,1676,2182,2553,3145,3638,4876,6018,6381,6609,7097,8120,8855,66128
bound,0,0,0,11,0,30,45,46,59,114,125,170,205,252,332,525,557,853,1006,1052,1357,1651,2098,2304,2593,2915,3175,3435,3701,3671,3982,4582,4512,4470,4990,5262,5555,65635
bounds,0,0,0,8,12,27,37,33,46,78,123,125,179,253,302,355,614,694,865,980,1148,1520,1841,2162,2462,2736,3089,3523,3601,3650,3933,4759,4674,4712,4889,5477,6348,65255
condition,0,0,0,15,29,27,55,88,87,130,187,251,242,344,397,562,675,854,1096,1117,1336,1647,1914,2398,2506,2768,3113,3402,3341,3830,4049,4309,4339,4257,4553,4752,5452,64122
proof,0,6,13,42,56,103,121,157,172,254,323,407,392,536,709,841,925,1117,1381,1413,1695,1974,2201,2506,2587,2862,2974,3296,3433,3466,3643,3850,3700,3833,4072,4340,4716,64116
distribution,0,0,0,10,11,11,14,17,26,83,156,172,206,220,316,515,699,842,1149,1291,1357,1636,1992,2285,2664,2873,3062,3122,3455,3715,3995,4314,4455,4323,4607,4922,5281,63796
well,0,0,0,16,44,49,75,83,106,149,230,266,266,366,390,495,669,798,949,1118,1333,1610,1918,2281,2425,2753,3187,3303,3682,3646,3863,4574,4381,4247,4543,4465,4265,62545
