,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
extend,0,0,0,10,12,20,37,30,43,85,83,117,126,155,203,285,328,364,489,559,621,770,917,1064,1201,1310,1384,1475,1578,1717,1816,2012,2029,2028,2214,2572,3229,30883
maximum,0,0,0,0,0,13,10,0,10,19,61,49,35,73,87,144,234,361,402,547,572,705,847,1031,1367,1416,1513,1665,1733,1881,1969,2273,2207,2231,2434,2482,2510,30881
equivalent,0,0,0,14,26,62,45,63,69,105,156,206,200,239,249,380,470,496,628,693,836,968,1020,1141,1285,1294,1489,1578,1632,1669,1811,1859,1868,1868,1988,2163,2235,30805
phase,0,0,0,0,0,15,17,26,44,94,135,166,173,172,221,263,301,334,409,473,526,737,926,1017,1224,1236,1499,1578,1551,1702,1766,2143,2295,2269,2337,2354,2769,30772
vertices,0,0,0,0,0,16,12,11,30,36,46,62,51,71,137,167,232,311,372,404,494,728,1002,1125,1292,1377,1557,1613,1807,1822,1937,2095,2221,2124,2251,2609,2697,30709
way,0,0,0,11,26,56,44,52,78,107,149,178,187,240,297,351,377,481,595,620,662,911,1023,1137,1276,1416,1451,1552,1605,1667,1840,2072,2036,1965,2094,2213,1923,30692
ring,0,0,0,13,27,32,38,55,76,120,134,229,238,380,420,526,513,569,856,815,904,978,1006,1109,1383,1374,1497,1587,1659,1559,1600,1716,1691,1677,1818,2060,1928,30587
furthermore,0,0,0,5,16,19,19,25,31,53,66,87,80,87,117,139,206,238,339,353,433,573,712,813,989,1177,1275,1413,1608,1617,1720,2061,2067,2249,2792,3244,3805,30428
lattice,0,0,0,13,47,48,55,68,85,135,233,278,228,328,308,461,621,568,650,642,721,947,1141,1199,1347,1200,1317,1463,1667,1651,1655,1698,1773,1827,1820,2064,2158,30416
high,0,0,0,0,0,6,0,10,7,24,35,40,64,73,78,108,210,266,314,361,498,658,779,918,1041,1321,1368,1556,1765,1832,2109,2290,2537,2493,2416,2614,2593,30384
computational,0,0,0,0,0,0,0,0,7,16,20,35,47,50,45,90,111,148,186,208,248,379,459,649,869,997,1105,1278,1478,1618,1987,2305,2556,2554,2965,3471,4318,30199
previous,0,0,0,0,10,27,26,34,48,77,103,126,139,171,211,272,321,353,466,478,598,761,866,1029,1226,1237,1388,1430,1621,1743,1868,2089,2070,2113,2256,2454,2573,30184
fundamental,0,0,0,13,34,39,72,50,104,113,132,177,215,230,273,344,465,447,578,583,765,836,920,1016,1175,1206,1359,1343,1476,1507,1792,1942,1771,1788,1963,2229,3103,30060
action,0,0,0,40,40,68,70,102,142,178,234,304,280,346,405,471,506,625,705,721,786,933,1161,1168,1223,1443,1388,1367,1449,1549,1621,1707,1717,1680,1736,1916,1899,29980
efficient,0,0,0,0,0,8,5,0,6,11,19,25,28,52,45,61,125,187,214,242,306,460,569,828,981,1144,1208,1433,1623,1679,1975,2365,2471,2451,2700,3108,3634,29963
dimensions,0,0,0,12,16,24,39,47,63,127,164,227,173,276,311,381,365,494,483,583,728,842,1018,1138,1152,1341,1303,1446,1427,1555,1661,1779,1878,1993,2078,2285,2535,29944
decomposition,0,0,0,5,19,37,47,35,55,89,111,115,128,176,216,203,310,355,463,503,561,729,851,911,1094,1254,1419,1448,1645,1672,1827,1992,2128,2082,2134,2482,2778,29874
inverse,0,0,0,8,13,5,16,26,38,58,84,112,106,123,153,210,251,279,432,413,537,637,854,954,1096,1087,1333,1259,1523,1715,1866,2259,2098,2059,2432,2756,2982,29774
integer,0,0,0,9,10,26,26,27,44,63,83,173,126,181,212,283,356,398,521,548,696,794,957,1043,1134,1337,1393,1458,1659,1646,1789,1915,1968,2033,2209,2190,2397,29704
maximal,0,0,0,12,16,30,51,50,56,75,93,129,130,253,259,331,381,489,503,683,865,844,1080,1188,1241,1300,1468,1537,1631,1614,1840,1824,1764,1765,1927,2046,2191,29666
locally,0,0,0,15,11,39,34,87,63,94,120,152,185,248,248,322,414,439,593,582,759,807,1026,1121,1212,1299,1456,1514,1684,1735,1759,1807,1761,1909,1880,2125,2096,29596
almost,0,0,0,11,23,31,27,50,54,96,118,160,131,182,253,345,403,428,621,626,725,828,987,1186,1174,1312,1449,1471,1628,1663,1871,2021,1886,1917,1863,1989,2003,29532
dynamical,0,0,0,0,20,15,28,36,84,94,166,174,186,221,281,368,337,366,476,491,546,700,921,1090,991,1129,1312,1183,1441,1518,1819,2084,2051,1956,2219,2431,2741,29475
theoretical,0,0,0,0,8,9,0,0,7,25,39,52,54,52,64,75,119,195,176,258,335,376,522,714,826,881,1054,1206,1362,1589,1860,2261,2332,2365,2747,3470,4441,29474
recently,0,0,0,6,25,23,33,37,65,73,112,108,131,139,176,211,256,327,397,467,556,783,872,1029,1144,1242,1347,1501,1641,1630,1906,2089,2063,2224,2186,2290,2230,29319
sum,0,0,0,10,21,29,37,43,49,83,124,119,173,191,241,253,394,438,532,630,633,838,978,1109,1197,1367,1494,1556,1633,1736,1717,1841,1831,1835,1964,2039,2092,29227
tensor,0,0,0,13,37,67,99,86,121,134,168,187,261,278,299,331,344,386,452,444,483,785,843,900,1051,1270,1432,1391,1564,1429,1659,2031,2010,2010,1960,2143,2513,29181
noise,0,0,0,0,0,0,0,0,0,20,22,24,55,48,53,135,181,258,286,386,454,636,784,945,1239,1161,1359,1552,1546,1586,1748,2195,2150,2111,2354,2655,3176,29119
distributions,0,0,0,0,9,6,9,21,22,25,77,49,84,85,97,204,300,439,523,540,619,837,922,1052,1057,1235,1341,1305,1508,1610,1785,2089,2016,1988,2091,2354,2792,29091
question,0,0,0,31,23,36,34,56,44,90,87,159,133,198,247,347,371,414,521,507,675,778,878,1034,1157,1339,1361,1456,1496,1594,1772,1959,1715,1825,2058,2223,2343,28961
generalization,0,0,0,11,39,53,63,74,92,121,153,172,202,245,272,360,406,453,504,573,650,793,891,1030,1141,1158,1239,1374,1470,1497,1655,1943,1904,1976,2060,2153,2179,28906
regularity,0,0,0,0,0,0,11,11,11,51,37,53,75,94,111,157,192,319,381,396,537,614,725,936,1130,1191,1353,1522,1605,1718,1979,1945,1994,2045,2263,2559,2700,28715
periodic,0,0,8,5,15,25,19,35,32,66,131,157,149,199,241,325,334,491,637,594,644,868,1048,1057,1158,1358,1409,1447,1534,1594,1687,1759,1725,1734,1959,2076,2086,28606
constraints,0,0,0,0,0,7,6,0,23,40,54,65,55,55,66,78,107,184,269,316,365,457,587,687,864,988,1122,1317,1430,1664,2032,2355,2411,2285,2590,2711,3409,28599
provides,0,0,0,5,9,24,28,35,46,54,89,92,96,141,145,213,255,307,357,358,539,604,827,924,1011,1152,1199,1278,1405,1557,1665,1973,1950,1878,2246,2534,3578,28574
spectrum,0,0,0,12,14,27,44,38,54,97,132,148,207,235,306,322,478,427,600,630,681,979,1092,1207,1280,1411,1490,1536,1698,1611,1653,1669,1607,1446,1639,1801,1903,28474
functional,0,0,0,7,12,29,39,34,45,59,79,123,103,141,181,209,308,450,478,470,585,724,905,1033,1142,1296,1409,1401,1505,1589,1752,1990,1765,1916,1960,2277,2422,28438
weighted,0,0,0,0,11,19,16,18,10,28,54,61,53,61,104,104,213,292,350,398,496,645,781,949,1161,1115,1327,1460,1643,1739,1762,2031,1965,2100,2328,2452,2670,28416
estimate,0,0,0,8,15,8,6,13,20,48,53,54,70,104,126,178,236,346,439,485,542,690,788,893,1196,1252,1387,1444,1618,1709,1789,2042,2041,1938,2141,2304,2179,28162
applied,0,0,0,5,15,26,31,42,40,66,127,102,138,148,170,206,274,359,407,478,557,704,843,999,1081,1188,1347,1408,1405,1585,1814,2063,2049,1968,2065,2168,2271,28149
apply,0,0,0,7,9,19,26,39,33,70,99,101,144,134,208,271,316,374,456,495,533,659,806,928,1099,1331,1374,1374,1495,1590,1832,1956,1920,1894,2004,2181,2302,28079
length,0,0,0,7,8,15,31,25,30,73,77,114,114,152,198,278,387,495,463,551,704,833,935,1106,1252,1275,1379,1450,1556,1641,1731,1776,1665,1859,1831,1914,1978,27903
varieties,0,0,0,32,26,76,72,124,167,189,214,300,258,434,412,514,539,597,534,675,784,919,887,971,1071,1106,1128,1320,1406,1434,1493,1506,1493,1609,1749,1803,2035,27877
wave,0,0,0,0,0,9,15,16,30,67,106,127,165,128,226,257,329,343,399,536,638,841,953,1002,1046,1085,1257,1403,1621,1628,1879,1871,1873,1803,1943,2025,2256,27877
determine,0,0,0,12,10,23,35,39,42,71,100,141,133,199,200,313,340,414,500,519,636,778,906,945,1181,1193,1227,1470,1409,1545,1723,1823,1745,1757,1999,2140,2283,27851
entropy,0,0,0,0,0,0,0,17,12,62,81,107,92,162,188,231,283,431,496,505,515,750,873,1037,979,1215,1433,1340,1688,1518,1793,1839,1825,1909,1907,1997,2437,27722
element,0,0,0,11,14,20,17,25,36,52,75,101,98,123,178,212,198,227,283,372,424,569,670,852,1016,1163,1248,1368,1540,1787,1784,1936,2106,2108,2230,2376,2472,27691
modules,0,0,0,0,39,56,90,96,143,174,177,189,196,338,358,454,506,549,625,672,732,744,906,1024,1252,1188,1275,1363,1354,1271,1386,1517,1553,1575,1669,1730,1860,27061
inequalities,0,0,0,7,13,16,22,25,46,43,49,68,71,98,205,202,290,332,461,504,600,675,877,1031,1253,1198,1450,1422,1546,1520,1665,1920,1788,1677,1851,2018,2082,27025
affine,0,0,0,8,54,89,106,141,190,176,203,244,243,347,368,423,470,551,589,720,756,806,838,992,1088,1250,1282,1245,1293,1427,1436,1551,1397,1463,1599,1718,1858,26921
sequences,0,0,0,11,14,21,46,25,32,50,53,113,79,130,203,279,342,414,418,584,626,666,837,891,1113,1190,1347,1461,1444,1601,1686,1864,1800,1641,1731,1895,2188,26795
exists,0,0,0,24,20,41,50,58,63,76,128,140,128,183,254,308,324,390,481,563,642,764,848,1029,1151,1221,1294,1378,1411,1573,1652,1580,1642,1743,1773,1845,2009,26786
vertex,0,0,0,0,50,67,100,77,94,104,149,114,138,166,167,227,284,357,387,387,521,655,803,876,1028,1059,1152,1341,1499,1558,1634,1698,1841,1904,1983,2004,2249,26673
classification,0,0,0,17,30,42,54,58,72,100,183,176,174,247,290,322,396,477,548,598,651,795,732,956,1022,1142,1146,1179,1233,1324,1550,1738,1601,1711,1822,2020,2202,26608
communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,93,143,192,234,300,429,446,613,709,953,1125,1313,1498,1590,1805,2046,2263,2584,2651,2793,2717,26533
sense,0,0,0,17,23,26,33,34,78,97,117,152,144,230,187,322,402,470,541,563,674,776,899,1064,1115,1267,1285,1417,1470,1549,1627,1769,1598,1568,1653,1730,1603,26500
uniform,0,0,0,0,16,8,23,20,17,48,70,76,73,118,168,192,238,353,387,412,502,648,773,938,999,1096,1375,1410,1403,1495,1743,1883,1799,1757,1991,2196,2269,26496
invariants,0,0,0,29,72,114,163,189,231,267,343,348,324,425,435,549,596,580,673,665,786,903,931,926,973,1084,1129,1164,1117,1247,1357,1443,1267,1356,1510,1408,1697,26301
curve,0,0,0,43,40,42,78,81,112,152,205,214,226,323,337,437,420,498,622,677,743,813,976,1067,1027,1179,1195,1297,1385,1363,1423,1497,1453,1393,1515,1615,1849,26297
exponential,0,0,0,0,19,12,13,20,36,47,56,95,79,113,137,190,275,352,414,478,602,713,777,969,966,1117,1159,1392,1321,1499,1757,1858,1834,1767,1889,2062,2254,26272
symmetry,0,0,0,6,50,48,73,115,116,163,206,298,253,293,347,379,407,457,490,549,614,924,854,1052,1124,1136,1089,1201,1207,1196,1385,1430,1561,1544,1746,1832,2045,26190
plane,0,0,0,21,26,65,88,89,86,176,177,181,206,226,327,373,397,432,618,648,753,850,881,1022,1172,1232,1230,1281,1495,1365,1466,1494,1431,1450,1511,1662,1573,26004
dual,0,0,0,11,31,38,64,58,93,105,132,184,169,200,236,298,321,373,415,470,477,651,755,929,1028,1114,1152,1278,1404,1440,1532,1731,1674,1685,1807,1944,2197,25996
variety,0,0,0,29,42,56,71,99,120,168,204,215,202,266,371,376,464,533,513,531,691,798,851,904,1021,1051,1187,1233,1301,1328,1447,1636,1496,1604,1600,1746,1762,25916
distributed,0,0,0,0,0,0,0,0,0,20,15,20,12,20,45,79,126,186,305,323,350,587,669,849,1117,1210,1310,1439,1725,1723,1991,2050,2078,1942,1863,1948,1834,25836
solving,0,0,0,0,0,0,10,15,14,16,48,52,56,57,75,84,104,149,169,217,288,374,469,610,768,868,964,1133,1284,1363,1737,2132,2135,2267,2562,2924,2867,25811
note,0,0,0,14,20,32,37,43,65,93,109,136,157,202,225,291,359,439,550,551,747,823,888,1049,1187,1195,1318,1369,1440,1512,1618,1508,1495,1478,1592,1600,1622,25764
families,0,0,0,7,19,28,37,49,67,106,103,136,173,185,225,249,326,411,418,470,593,667,784,929,1094,1058,1143,1252,1413,1319,1488,1751,1577,1609,1763,2010,2224,25683
important,0,0,0,9,11,27,20,20,30,64,70,112,106,116,179,231,262,311,371,405,511,691,748,896,1049,1115,1191,1239,1459,1497,1665,1874,1816,1852,1881,1894,1678,25400
similar,0,0,0,11,15,33,30,48,64,87,103,126,133,176,202,245,337,397,457,514,611,767,854,1010,1098,1161,1231,1273,1357,1444,1503,1639,1614,1658,1755,1846,1597,25396
normal,0,0,0,6,28,31,28,53,76,86,100,171,172,213,248,330,407,444,537,596,654,710,824,993,1156,1085,1308,1242,1350,1363,1430,1611,1533,1534,1546,1631,1838,25334
within,0,0,0,0,7,12,20,19,26,51,69,85,80,100,100,136,192,216,276,302,356,567,627,744,817,887,946,1068,1173,1188,1410,1487,1592,1549,2168,3240,3779,25289
along,0,0,0,6,6,17,22,27,65,76,72,90,118,104,191,243,275,319,441,417,478,631,706,859,902,1022,1133,1173,1199,1391,1507,1702,1756,1760,1868,2258,2428,25262
analytic,0,0,0,49,23,55,69,71,107,75,147,160,191,229,258,338,375,505,571,637,630,768,798,1003,988,1133,1194,1224,1268,1368,1408,1537,1533,1423,1423,1593,1932,25083
level,0,0,0,0,24,28,55,50,90,89,89,91,113,120,186,204,284,361,408,419,474,655,823,886,979,1083,1132,1258,1293,1474,1495,1671,1693,1738,1722,1947,2121,25055
thus,0,0,0,13,14,40,30,39,51,64,102,118,121,147,165,206,289,359,390,430,496,628,786,880,908,1086,1148,1137,1373,1384,1517,1724,1874,1819,1880,1865,1877,24960
existing,0,0,0,0,0,0,0,0,6,11,12,10,22,28,24,44,79,96,134,168,197,325,390,515,742,762,905,1030,1228,1289,1544,1986,2193,2259,2513,2939,3472,24923
index,0,0,0,20,18,21,31,43,50,96,145,167,143,159,237,265,307,385,433,560,511,690,773,898,1018,1068,1359,1338,1621,1483,1579,1579,1657,1579,1404,1543,1734,24914
relation,0,0,0,12,39,50,58,84,74,121,133,195,206,257,324,340,398,478,511,573,641,820,869,1004,1118,1124,1188,1261,1245,1381,1430,1541,1412,1442,1468,1558,1514,24869
basis,0,0,0,13,36,32,40,66,102,132,166,171,169,190,203,276,356,365,471,561,548,748,713,852,966,1165,1195,1184,1309,1430,1380,1452,1622,1483,1738,1861,1872,24867
subset,0,0,0,25,19,33,21,62,40,91,84,87,116,175,218,206,291,285,431,502,463,646,830,895,1031,1039,1251,1310,1414,1482,1550,1623,1587,1596,1591,1907,1921,24822
hilbert,0,0,0,23,38,48,62,76,89,95,188,254,227,273,291,365,378,461,543,575,667,744,811,998,1010,1186,1141,1146,1258,1395,1356,1437,1473,1322,1503,1620,1699,24752
mathbb,0,0,0,0,0,0,0,16,0,17,39,36,46,70,122,91,192,221,215,237,365,354,428,586,828,1397,1520,1574,1594,1807,1882,1793,1873,1781,2000,1961,1676,24721
provided,0,0,0,6,19,21,10,33,31,42,72,73,83,107,169,173,208,269,388,422,462,609,721,854,1021,1084,1298,1281,1426,1470,1554,1838,1727,1663,1712,1889,1932,24667
hamiltonian,0,0,0,15,22,33,52,68,92,143,192,255,280,304,356,403,439,419,533,605,639,803,841,1028,1025,1092,1148,1098,1117,1110,1299,1359,1504,1362,1468,1703,1781,24588
combinatorial,0,0,0,12,32,32,38,43,72,90,115,126,152,177,258,344,403,473,529,509,606,724,757,949,952,1085,1090,1139,1230,1313,1293,1496,1517,1554,1606,1815,2054,24585
solve,0,0,0,0,0,5,10,15,26,22,42,60,71,67,107,123,151,158,223,233,290,464,502,613,756,895,1034,1143,1287,1397,1735,2040,2128,2247,2236,2318,2152,24550
prime,0,0,0,0,6,25,15,17,20,73,72,86,112,200,197,287,323,379,509,490,632,642,769,923,963,1135,1189,1242,1326,1346,1372,1618,1595,1498,1651,1777,1995,24484
line,0,0,0,12,39,41,59,86,77,111,102,180,156,212,257,301,336,409,413,523,495,709,768,830,984,1023,1112,1211,1354,1312,1503,1620,1477,1482,1651,1800,1797,24442
suitable,0,0,0,6,11,22,18,40,34,62,76,95,94,133,168,205,240,312,378,383,432,601,644,775,958,1016,1089,1210,1317,1485,1523,1746,1756,1796,1784,1900,2119,24428
developed,0,0,0,9,12,21,26,33,36,56,88,75,119,124,165,192,254,324,352,407,432,581,712,931,937,1046,1153,1210,1282,1406,1526,1649,1712,1724,1838,1976,2019,24427
necessary,0,0,0,7,13,25,34,27,37,64,73,113,113,151,176,241,297,379,430,439,548,647,783,932,1022,1160,1236,1272,1296,1428,1444,1600,1558,1610,1650,1760,1840,24405
characterization,0,0,0,11,9,18,20,30,40,36,72,84,103,138,159,194,278,307,414,441,522,593,800,873,1010,1150,1227,1257,1340,1376,1522,1553,1543,1519,1646,1931,2158,24374
minimum,0,0,0,0,0,12,7,0,8,17,29,36,29,55,55,116,208,232,316,370,405,539,766,827,1064,1170,1266,1348,1521,1419,1657,1808,1619,1619,1875,1826,2090,24309
constructed,0,0,0,10,42,62,80,105,106,160,187,206,206,265,260,276,394,473,520,556,554,731,834,874,1015,1079,1105,1148,1177,1298,1385,1416,1467,1512,1511,1568,1691,24273
following,0,0,0,18,31,50,46,52,70,73,134,157,135,186,220,256,360,374,412,514,593,702,769,873,974,1105,1213,1203,1296,1364,1499,1553,1453,1538,1555,1704,1680,24162
extended,0,0,0,9,23,45,41,50,62,102,126,129,131,177,203,268,333,407,472,470,544,667,729,887,911,1068,1073,1189,1320,1235,1399,1516,1542,1591,1721,1784,1937,24161
abelian,0,0,0,0,24,52,46,104,100,146,148,199,228,280,288,399,438,507,503,582,671,804,948,895,1006,1043,1113,1199,1240,1250,1315,1385,1304,1285,1475,1415,1765,24157
relations,0,0,0,12,48,68,85,97,108,136,195,252,184,259,317,334,410,497,487,564,658,764,864,928,1066,1128,1046,1143,1123,1283,1341,1450,1317,1348,1412,1542,1487,23953
experiments,0,0,0,0,0,0,0,0,0,5,16,19,26,25,34,26,51,89,106,104,174,229,325,403,517,644,756,890,1089,1247,1493,2005,2194,2213,2550,3042,3675,23947
term,0,0,0,0,6,11,18,23,21,54,44,78,85,117,129,210,221,302,353,416,463,554,670,773,915,973,1024,1179,1227,1291,1473,1647,1693,1774,1767,1980,2231,23722
key,0,0,0,0,0,0,9,10,11,23,38,47,58,58,78,127,194,193,266,249,337,452,547,657,740,874,943,1019,1179,1256,1432,1682,1647,1640,1925,2430,3544,23665
diffusion,0,0,0,0,0,0,0,0,8,29,22,30,56,62,92,106,215,265,340,323,435,623,653,861,944,1137,1141,1120,1262,1334,1420,1537,1504,1492,1832,2244,2535,23622
theorems,0,0,0,18,11,33,23,43,63,89,121,158,118,158,223,242,332,418,526,519,553,720,808,941,1030,1090,1175,1195,1239,1318,1371,1440,1382,1399,1441,1544,1749,23490
domains,0,0,0,8,17,10,19,33,18,17,48,65,62,94,140,194,207,302,316,368,425,513,643,738,859,967,1184,1110,1248,1324,1312,1668,1537,1565,1939,2080,2330,23360
relative,0,0,0,7,13,17,21,26,46,78,111,110,132,141,153,265,266,318,398,414,442,645,747,712,924,979,1008,1105,1277,1291,1307,1472,1487,1618,1689,1822,2253,23294
variable,0,0,0,9,6,13,10,14,21,31,48,64,65,76,119,171,228,304,354,443,492,548,670,803,942,1020,1057,1077,1133,1321,1564,1696,1712,1595,1737,1886,1950,23179
principle,0,0,0,0,11,38,16,31,34,73,91,110,146,140,176,250,293,325,381,449,473,584,710,826,959,975,1088,1090,1184,1242,1354,1579,1545,1522,1556,1754,2102,23107
assumptions,0,0,0,0,0,7,10,16,17,39,46,39,53,74,81,133,188,206,260,318,389,523,577,725,778,867,1003,1093,1202,1264,1473,1632,1790,1756,1832,2139,2540,23070
markov,0,0,0,0,0,0,0,7,14,19,22,35,51,66,94,250,339,373,457,436,541,625,881,949,914,1120,1151,1133,1185,1435,1472,1493,1543,1618,1399,1656,1780,23058
addition,0,0,0,9,10,35,27,19,33,51,56,62,81,95,118,161,213,264,274,301,430,499,631,775,863,994,1125,1215,1333,1324,1470,1687,1692,1738,1786,1825,1846,23042
unique,0,0,0,11,15,14,19,25,28,52,79,99,86,111,159,219,246,293,381,441,470,629,688,877,908,1051,1130,1072,1202,1330,1421,1573,1494,1524,1653,1849,1859,23008
among,0,0,0,10,9,18,24,25,42,50,89,79,91,104,121,205,209,264,347,357,448,546,709,744,801,981,1037,1152,1267,1315,1410,1652,1603,1640,1769,1895,1910,22923
mathematical,0,0,0,10,12,26,28,36,38,59,100,114,104,154,184,202,228,326,304,361,434,510,678,741,752,918,928,1061,1059,1181,1317,1596,1511,1602,1933,2056,2279,22842
neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,18,19,27,31,25,49,77,100,110,141,237,392,867,1579,2224,2622,2947,3430,4031,3856,22803
connection,0,0,0,19,31,60,72,88,89,118,145,198,173,241,304,300,386,443,452,528,525,677,790,890,914,992,1016,1065,1160,1151,1207,1365,1309,1304,1470,1575,1725,22782
homogeneous,0,0,0,12,16,39,59,49,78,96,117,133,147,198,248,294,368,402,465,451,673,687,820,947,1025,986,1064,1197,1213,1302,1218,1302,1353,1315,1443,1421,1567,22705
reduction,0,0,0,0,17,17,26,28,52,69,111,83,98,189,190,262,289,251,325,317,400,543,584,725,826,916,967,1082,1193,1232,1420,1515,1614,1630,1710,1887,2041,22609
context,0,0,0,0,10,12,14,27,45,65,74,84,93,140,143,177,221,300,356,403,475,602,701,750,838,954,1048,1073,1133,1162,1330,1459,1567,1487,1760,2007,1992,22502
equivalence,0,0,0,8,16,23,37,47,70,77,143,191,156,199,224,290,370,370,447,486,524,663,773,794,1024,1095,1056,1150,1149,1269,1220,1349,1372,1334,1247,1542,1733,22448
categories,0,0,0,0,0,21,31,28,33,61,89,143,132,171,204,286,297,402,482,445,519,604,681,760,912,941,1093,1052,1075,1190,1172,1534,1392,1430,1632,1754,1774,22340
gives,0,0,0,22,26,49,53,65,93,106,142,166,186,248,287,321,381,438,538,547,611,754,802,867,922,1058,1052,1143,1159,1190,1247,1373,1347,1315,1311,1275,1203,22297
either,0,0,0,6,11,24,26,20,39,50,57,82,101,128,112,184,241,243,360,395,479,563,682,774,898,996,1121,1135,1210,1265,1391,1599,1546,1516,1606,1702,1728,22290
technique,0,0,0,0,0,22,19,21,28,32,55,60,57,77,104,103,174,219,311,294,379,574,603,744,918,1022,1089,1101,1232,1305,1409,1636,1703,1660,1767,1886,1662,22266
rates,0,0,0,0,0,0,0,0,0,0,10,9,26,30,48,78,138,218,293,284,385,467,572,701,847,893,1034,1118,1246,1241,1392,1773,1716,1584,1707,2071,2302,22183
single,0,0,0,7,6,11,14,17,13,42,57,55,75,88,143,125,180,267,299,346,447,545,700,775,870,962,971,1094,1246,1227,1341,1597,1468,1522,1663,1783,2170,22126
universal,0,0,0,34,63,94,94,112,134,150,144,202,183,204,237,306,345,412,448,518,548,675,706,869,928,1033,921,963,1073,1014,1138,1356,1195,1348,1339,1554,1758,22098
kernel,0,0,0,0,24,14,15,32,41,94,79,74,69,116,122,179,192,316,354,395,446,494,612,755,766,808,943,1038,1130,1243,1276,1644,1587,1501,1704,1940,2082,22085
full,0,0,0,6,11,17,20,28,38,44,67,80,76,105,111,182,246,279,278,355,418,595,647,764,726,983,1066,1149,1222,1199,1366,1544,1553,1571,1574,1664,2033,22017
cost,0,0,0,0,0,0,0,0,0,0,0,10,8,8,24,47,94,103,134,145,157,274,348,544,689,742,918,1108,1304,1364,1616,1905,2120,1865,2047,2057,2343,21974
homology,0,0,0,0,15,25,47,85,98,133,137,185,203,194,353,482,457,621,571,647,649,788,816,885,902,956,916,922,994,1123,1183,1252,1164,1293,1250,1301,1324,21971
symplectic,0,0,0,10,51,67,65,105,158,188,259,323,284,416,439,514,540,535,567,620,650,704,819,823,900,984,963,924,943,1010,1002,1105,1037,1156,1116,1407,1266,21950
gamma,0,0,0,0,13,20,28,35,38,66,112,126,76,117,215,217,263,336,324,417,480,624,593,766,897,1036,1067,1147,1265,1194,1377,1503,1387,1348,1597,1607,1628,21919
norm,0,0,0,16,16,25,19,20,36,34,58,73,63,123,118,135,208,272,314,365,423,564,619,766,785,994,1000,1017,1264,1341,1438,1488,1492,1487,1719,1779,1778,21849
moduli,0,0,0,16,75,158,175,161,208,232,234,316,269,365,411,384,447,536,557,639,573,738,709,801,809,904,870,997,1078,1011,1135,1181,1155,1004,1214,1204,1277,21843
characterize,0,0,0,0,8,17,13,14,19,32,51,59,59,83,94,146,191,240,289,364,385,492,596,709,867,953,984,1072,1191,1258,1389,1561,1522,1674,1587,1774,2082,21775
description,0,0,0,9,25,34,65,65,87,97,137,187,194,247,304,302,376,470,484,531,617,746,837,915,884,968,996,1095,1082,1131,1136,1224,1253,1244,1224,1393,1383,21742
products,0,0,0,21,36,51,46,73,86,105,144,155,197,249,252,292,311,394,434,450,544,681,703,849,891,946,1145,1078,1025,1058,1188,1257,1163,1245,1361,1519,1785,21734
compared,0,0,0,0,0,0,6,12,9,14,30,28,31,37,49,55,103,119,167,189,212,345,401,505,637,704,912,981,1155,1185,1393,1723,1771,1870,2116,2429,2486,21674
weight,0,0,0,0,29,33,57,70,79,97,109,128,93,115,238,185,298,320,431,447,446,608,665,893,888,991,1009,965,1246,1169,1180,1386,1204,1377,1462,1694,1761,21673
unit,0,0,0,19,13,27,23,33,36,47,75,65,82,105,169,256,320,324,467,393,490,503,661,756,833,948,1006,1114,1233,1291,1333,1493,1414,1354,1456,1581,1697,21617
canonical,0,0,0,9,27,58,60,62,106,131,181,283,275,292,365,334,388,452,527,540,613,688,744,852,878,970,1002,1024,1057,998,1176,1132,1184,1149,1221,1263,1566,21607
approximate,0,0,0,0,0,0,8,6,7,27,32,34,46,41,56,80,158,137,182,263,319,382,502,608,735,860,950,1038,1221,1256,1445,1706,1787,1722,1990,1966,1985,21549
central,0,0,0,7,19,47,36,49,63,69,92,77,109,153,172,224,260,353,414,454,462,601,629,728,784,905,1013,985,1002,1192,1218,1330,1383,1357,1451,1686,2165,21489
growth,0,0,0,0,9,0,0,9,11,28,70,67,117,131,132,191,233,263,341,415,432,625,642,703,768,834,1003,1180,1134,1186,1277,1455,1446,1391,1567,1707,2049,21416
alpha,0,0,0,11,27,16,20,32,46,44,77,85,69,115,159,169,224,309,468,365,458,532,544,723,800,1019,1063,1093,1214,1286,1384,1398,1347,1433,1543,1558,1767,21398
leq,0,0,0,0,12,25,22,27,30,26,25,38,63,63,102,138,210,244,245,327,375,424,553,638,698,871,1050,1164,1236,1396,1478,1398,1346,1594,1653,1766,2096,21333
robust,0,0,0,0,0,0,0,0,0,0,0,8,6,33,14,43,58,58,75,152,151,253,359,432,618,684,879,890,1053,1207,1427,1889,1849,1962,2108,2331,2776,21315
eigenvalues,0,0,0,6,10,12,18,32,26,63,104,126,119,153,201,208,290,303,431,501,570,661,700,876,876,998,1115,1083,1150,1131,1269,1374,1333,1172,1401,1384,1579,21275
