,1994,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
sampling,0,0,0,0,0,0,0,0,0,47,68,93,165,147,198,290,515,615,701,871,793,1082,1463,1878,2153,1560,1627,1867,2023,2380,20536
multiple,0,0,0,0,0,0,0,0,10,33,50,60,91,108,187,254,384,414,589,614,795,1038,1681,2516,2669,1628,1622,1587,1953,2117,20400
graph,0,0,0,0,0,0,0,0,0,0,21,37,53,96,164,218,378,341,352,432,616,873,1769,3610,4048,1486,1327,1389,1754,1404,20368
general,0,0,0,0,0,0,0,0,26,85,96,188,209,238,267,346,552,589,688,815,943,1072,1453,2039,2311,1592,1610,1753,1655,1781,20308
accuracy,0,0,0,0,0,0,0,0,9,11,17,36,52,50,80,128,261,305,337,464,663,1006,2077,3405,3343,1395,1154,1385,1821,2268,20267
approaches,0,0,0,0,0,0,0,0,0,17,22,44,61,83,137,195,323,339,455,512,669,1064,1849,2689,3038,1536,1454,1553,1842,2373,20255
causal,0,0,0,0,0,0,0,0,11,0,24,48,21,39,51,71,277,138,248,291,436,651,860,1228,1919,1686,2150,2960,3353,3363,19825
via,0,0,0,0,0,0,0,0,8,35,41,54,89,94,128,230,317,395,474,571,754,985,1499,2225,2586,1637,1666,1766,1806,2431,19791
probability,0,0,0,0,0,0,0,21,41,61,97,154,195,208,292,362,567,612,648,766,780,1093,1386,1756,2042,1638,1697,1707,1741,1920,19784
selection,0,0,0,0,0,0,0,0,27,34,59,141,234,274,283,405,535,556,719,804,948,1110,1588,1897,2179,1406,1426,1424,1732,1990,19771
theoretical,0,0,0,0,0,0,0,0,7,20,26,39,86,117,133,182,312,416,459,552,696,887,1359,1779,2230,1555,1563,1810,2387,2964,19579
case,0,0,0,0,0,0,7,6,24,68,87,156,205,204,271,384,548,623,668,742,836,1043,1454,1958,2234,1584,1508,1604,1609,1630,19453
parameter,0,0,0,0,0,0,0,0,16,83,102,159,202,252,263,395,564,715,674,833,968,1082,1294,1711,1958,1416,1438,1466,1779,2059,19429
features,0,0,0,0,0,0,0,0,0,9,8,44,35,53,94,144,269,304,396,515,797,1164,2043,3132,3065,1387,1265,1360,1484,1486,19054
properties,0,0,0,0,0,0,0,0,21,68,73,126,207,197,249,326,518,504,612,741,858,1108,1499,1987,2103,1525,1481,1474,1648,1686,19011
estimators,0,0,0,0,0,0,12,15,40,120,148,268,303,256,286,364,481,559,689,767,799,1089,1144,1331,1736,1489,1553,1576,1949,1986,18960
robust,0,0,0,0,0,0,0,0,12,20,19,46,48,65,123,166,227,316,395,571,586,949,1454,2239,2662,1524,1635,1519,1927,2410,18913
convergence,0,0,0,0,0,0,0,12,31,52,97,170,152,194,204,315,460,469,514,675,819,956,1444,1873,2220,1463,1353,1555,1831,2031,18890
given,0,0,0,0,0,0,0,11,45,62,95,175,184,189,263,317,547,537,627,664,865,1118,1660,2199,2379,1447,1395,1391,1386,1292,18848
studies,0,0,0,0,0,0,0,0,11,20,38,56,85,84,189,225,327,405,445,582,721,914,1215,1768,2077,1573,1637,1870,2125,2320,18687
class,0,0,0,0,0,0,0,17,45,87,89,125,149,176,269,289,582,505,636,707,813,1043,1541,2037,2295,1454,1300,1453,1469,1591,18672
often,0,0,0,0,0,0,0,0,10,8,30,50,63,83,132,169,290,292,405,506,615,870,1452,2026,2284,1376,1434,1714,2093,2671,18573
may,0,0,0,0,0,0,0,0,17,32,53,79,114,133,168,242,343,440,497,532,706,964,1587,2062,2391,1579,1494,1513,1626,1624,18196
rate,0,0,0,0,0,0,0,0,36,57,88,159,201,179,205,321,469,482,560,629,708,1008,1376,1992,2151,1382,1300,1528,1589,1740,18160
several,0,0,0,0,0,0,5,0,18,18,52,85,111,130,155,224,451,471,549,681,757,1036,1666,2341,2593,1470,1395,1266,1354,1200,18028
empirical,0,0,0,0,0,0,0,0,30,44,48,109,151,159,151,245,416,443,539,570,738,891,1347,1859,2016,1413,1369,1514,1736,2200,17988
simulation,0,0,0,0,0,0,0,0,7,28,52,94,132,131,174,263,408,462,544,692,802,972,1154,1509,1847,1543,1503,1629,1866,2036,17848
high,0,0,0,0,0,0,0,0,8,14,37,50,82,107,145,223,350,420,542,647,762,1056,1589,2413,2422,1357,1315,1255,1315,1417,17526
introduce,0,0,0,0,0,0,0,0,0,19,38,36,74,83,112,171,293,308,365,496,612,846,1373,2024,2097,1188,1122,1488,2036,2680,17461
tasks,0,0,0,0,0,0,0,0,0,0,0,0,10,14,22,45,165,148,176,264,384,767,1910,3400,3456,1106,1047,1271,1528,1469,17182
gradient,0,0,0,0,0,0,0,0,0,0,0,0,8,26,41,55,115,145,256,390,551,949,1984,2559,2871,1355,1287,1434,1557,1508,17091
series,0,0,0,0,0,0,0,0,16,28,52,141,127,107,150,203,335,385,369,575,754,820,1232,1822,2252,1518,1285,1459,1766,1680,17076
effects,0,0,0,0,0,0,0,0,17,15,31,62,74,53,114,157,235,312,386,453,602,778,1099,1287,1683,1527,1616,1758,2207,2498,16964
systems,0,0,0,0,0,0,0,0,20,19,15,50,48,56,91,144,228,299,316,387,619,803,1622,2537,2546,1107,1183,1368,1433,1814,16705
design,0,0,0,0,0,0,0,0,16,19,52,69,124,119,122,169,272,319,292,483,519,765,1439,1985,2212,1323,1430,1493,1542,1886,16650
latent,0,0,0,0,0,0,0,0,0,14,0,30,26,48,105,109,419,354,424,464,600,938,1457,2091,2105,1144,1249,1454,1705,1845,16581
likelihood,0,0,0,0,0,0,0,0,45,82,88,191,245,236,259,322,589,673,759,817,932,908,1172,1300,1450,1220,1193,1216,1357,1473,16527
modeling,0,0,0,0,0,0,0,0,6,11,10,70,76,69,162,182,376,368,419,411,634,902,1266,1736,1877,1270,1252,1397,1685,2325,16504
samples,0,0,0,0,0,0,0,0,13,24,27,58,71,80,101,184,291,387,354,453,647,896,1563,2107,2255,1295,1283,1316,1535,1542,16482
estimate,0,0,0,0,0,0,0,0,23,31,73,117,143,165,198,270,394,455,548,604,785,917,1249,1495,1707,1396,1388,1455,1523,1433,16369
processes,0,0,0,0,0,0,0,13,30,64,107,154,218,210,286,350,514,457,518,636,716,876,1164,1404,1584,1360,1212,1288,1549,1538,16248
computational,0,0,0,0,0,0,0,0,9,17,20,56,68,64,118,181,287,358,478,604,697,912,1335,1715,1993,1211,1213,1342,1565,1996,16239
consider,0,0,0,0,0,7,8,6,26,63,92,147,165,205,241,334,484,505,573,657,771,981,1259,1745,1856,1327,1290,1255,1175,1019,16191
bounds,0,0,0,0,0,0,0,0,30,31,52,87,58,166,160,234,336,380,437,503,639,607,992,1432,1745,1419,1423,1713,1763,1958,16165
real,0,0,0,0,0,0,0,0,0,15,45,85,95,97,191,209,365,460,549,649,796,1038,1476,1947,2021,1248,1164,1193,1287,1199,16129
prior,0,0,0,0,0,0,0,0,15,18,64,114,99,112,119,266,425,401,441,528,707,841,1221,1591,1814,1279,1242,1349,1486,1736,15868
detection,0,0,0,0,0,0,0,0,0,11,35,39,33,66,148,167,249,336,398,486,660,858,1535,2481,2441,1149,1016,1023,1276,1456,15863
loss,0,0,0,0,0,0,0,0,20,33,29,53,42,57,86,125,208,237,248,368,464,721,1377,2286,2505,1379,1193,1342,1507,1510,15790
standard,0,0,0,0,0,0,0,0,11,32,32,50,103,96,154,201,373,346,459,594,654,854,1293,1829,1887,1249,1144,1246,1403,1760,15770
across,0,0,0,0,0,0,0,0,0,0,7,11,26,41,50,66,166,152,203,259,374,557,1035,1563,1803,1068,1060,1409,2297,3564,15711
uncertainty,0,0,0,0,0,0,0,0,0,0,0,25,37,38,53,98,142,209,211,344,335,586,1065,1637,1783,1436,1431,1600,2067,2431,15528
size,0,0,0,0,0,0,0,0,13,36,50,91,121,111,177,189,354,426,486,589,727,819,1234,1612,1764,1231,1187,1233,1464,1566,15480
sparse,0,0,0,0,0,0,0,0,0,7,24,38,98,163,240,333,662,665,700,836,869,1030,1196,1610,1711,1075,940,1068,978,1046,15289
treatment,0,0,0,0,0,0,0,0,28,6,10,25,47,28,36,85,98,118,218,312,541,556,932,1055,1576,1532,1777,1747,2127,2409,15263
compared,0,0,0,0,0,0,0,0,5,14,15,46,58,70,86,138,236,312,322,447,507,783,1352,2095,2220,1092,1178,1222,1469,1536,15203
risk,0,0,0,0,0,0,0,0,8,42,70,111,97,108,135,180,251,329,404,469,557,699,1002,1325,1644,1384,1372,1504,1570,1933,15194
application,0,0,0,0,0,0,0,0,10,19,50,93,99,118,161,230,355,408,444,556,668,823,1293,1506,1738,1140,1165,1278,1467,1556,15177
effect,0,0,0,0,0,0,0,0,24,11,16,35,49,47,93,108,191,200,267,397,538,618,993,1330,1869,1459,1468,1655,1918,1847,15133
theory,0,0,0,0,0,0,0,11,35,63,89,130,161,146,194,287,371,380,443,537,569,723,1045,1378,1591,1192,1194,1274,1464,1703,14980
order,0,0,0,0,0,0,0,0,22,51,63,141,170,156,205,271,421,474,555,605,719,940,1351,1857,1873,1164,1009,999,956,856,14858
asymptotic,0,0,0,0,0,0,11,10,34,131,162,196,276,276,282,374,535,540,562,706,750,784,867,952,1169,1074,1106,1094,1363,1541,14795
including,0,0,0,0,0,0,0,0,0,27,37,51,71,74,114,146,236,299,332,425,486,679,1144,1657,1887,1159,1161,1261,1579,1934,14759
noise,0,0,0,0,0,0,0,0,11,24,42,83,93,108,180,205,281,436,442,435,622,786,1199,1598,1744,1146,1090,1178,1372,1615,14690
techniques,0,0,0,0,0,0,0,0,7,18,39,53,80,55,117,160,302,268,347,467,547,801,1418,2242,2223,928,926,1092,1260,1299,14649
feature,0,0,0,0,0,0,0,0,0,12,10,25,27,43,55,101,259,224,314,340,545,824,1469,2399,2561,977,872,1030,1205,1320,14612
setting,0,0,0,0,0,0,0,0,6,10,25,48,56,65,84,157,255,282,358,388,551,673,1115,1651,1923,1330,1323,1375,1386,1539,14600
without,0,0,0,0,0,0,0,0,10,15,21,40,49,48,68,105,191,210,298,385,510,693,1302,2062,2187,1113,1032,1143,1445,1663,14590
develop,0,0,0,0,0,0,0,0,7,13,20,57,58,85,110,149,289,300,390,486,594,839,1150,1617,1773,1233,1205,1225,1355,1616,14571
local,0,0,0,0,0,0,0,0,15,45,44,104,94,109,119,184,360,319,374,539,668,800,1178,1720,2175,1257,926,989,1127,1326,14472
approximation,0,0,0,0,0,0,0,0,8,29,40,78,92,107,170,242,386,364,440,566,675,766,1094,1488,1641,1140,1072,1250,1446,1373,14467
clustering,0,0,0,0,0,0,0,0,0,0,26,19,89,57,130,174,365,509,461,683,757,925,1286,2045,1991,911,892,903,982,1227,14432
recent,0,0,0,0,0,0,0,0,6,13,19,46,53,60,99,126,188,256,307,399,494,737,1358,2059,2208,1088,1084,1207,1317,1298,14422
dataset,0,0,0,0,0,0,0,0,0,0,0,6,14,19,33,59,124,145,182,269,438,719,1588,2652,2275,1025,995,1068,1381,1430,14422
conditions,0,0,0,0,0,0,0,0,21,52,69,117,165,194,205,317,392,436,466,529,650,723,985,1237,1361,1112,1016,1190,1393,1731,14361
particular,0,0,0,0,0,0,0,0,17,47,57,106,152,116,194,249,402,421,497,548,656,793,1238,1781,1730,1203,1047,1068,1076,942,14340
various,0,0,0,0,0,0,0,0,0,11,36,49,70,78,82,133,243,244,286,372,426,648,1201,1796,1974,1035,1106,1375,1805,1366,14336
simple,0,0,0,0,0,0,0,0,13,36,36,93,129,129,181,193,338,355,507,536,641,781,1284,1735,1968,1062,966,1049,1054,1071,14157
numerical,0,0,0,0,0,0,0,0,13,30,28,58,64,106,128,151,243,350,397,520,617,769,975,1319,1552,1206,1251,1306,1508,1534,14125
available,0,0,0,0,0,0,0,0,8,15,25,53,91,66,90,134,222,272,359,417,548,722,1253,1940,2005,1110,1141,1172,1250,1168,14061
highdimensional,0,0,0,0,0,0,0,0,0,14,19,30,77,80,117,148,256,349,378,538,607,779,952,1233,1332,1106,1217,1242,1623,1851,13948
mean,0,0,0,0,0,0,0,7,26,47,47,106,121,142,167,216,335,395,506,587,583,732,966,1239,1441,1208,1098,1234,1284,1371,13858
applied,0,0,0,0,0,0,0,0,20,18,47,74,104,106,150,214,314,399,436,541,577,802,1233,1614,1754,1047,1022,976,1135,1226,13809
posterior,0,0,0,0,0,0,0,0,14,24,29,75,107,69,107,184,360,464,412,660,618,779,870,1192,1257,1092,1186,1287,1395,1586,13767
estimates,0,0,0,0,0,0,0,0,14,36,56,81,124,122,159,217,306,356,412,504,601,780,903,1159,1448,1184,1143,1142,1361,1591,13699
kernel,0,0,0,0,0,0,0,0,8,24,45,82,91,102,164,196,376,309,416,511,775,857,1085,1336,1581,1141,1011,1067,1174,1316,13667
point,0,0,0,0,0,0,0,0,5,49,37,85,117,130,165,172,327,318,425,521,629,792,1144,1513,1616,1165,977,1008,1281,1179,13655
complexity,0,0,0,0,0,0,0,0,12,14,17,46,39,47,76,133,234,272,308,455,508,769,1073,1552,1867,1051,1072,1315,1352,1406,13618
complex,0,0,0,0,0,0,0,0,13,16,16,39,51,58,94,154,226,291,262,369,471,729,1239,1632,1667,946,943,1062,1393,1844,13515
important,0,0,0,0,0,0,0,0,15,31,34,63,98,108,125,171,292,357,411,482,595,748,1298,1871,1942,1116,995,954,924,837,13467
conditional,0,0,0,0,0,0,0,0,8,25,29,107,120,102,129,176,396,324,418,379,524,664,842,1181,1377,1126,1142,1228,1490,1650,13437
variable,0,0,0,0,0,0,0,0,11,27,34,92,142,143,192,241,357,388,468,580,652,761,1022,1140,1368,1061,1127,1060,1280,1266,13412
known,0,0,0,0,0,0,0,0,14,38,63,99,123,139,179,259,329,372,441,502,571,677,1076,1445,1607,1052,1058,1039,1153,1172,13408
due,0,0,0,0,0,0,0,0,0,11,24,42,46,56,93,106,211,210,278,339,425,575,1132,1839,1865,1012,1108,1230,1371,1380,13353
procedure,0,0,0,0,0,0,0,0,16,30,73,147,180,194,227,283,424,429,463,597,663,804,969,1235,1325,1023,1010,1012,1064,1165,13333
