,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
traditional,0,0,0,0,0,0,0,0,0,0,0,0,7,11,15,12,13,9,20,17,26,64,76,121,120,121,165,288,391,1476
estimate,0,0,0,0,0,0,0,5,5,7,9,11,14,26,25,29,40,53,43,50,49,62,87,149,172,161,141,139,198,1475
classical,0,0,0,0,0,0,0,6,10,10,22,13,22,42,41,34,39,53,53,79,64,78,103,111,98,103,159,107,220,1467
mean,0,0,0,0,0,0,6,10,26,22,21,37,12,20,23,38,41,47,50,77,69,69,114,130,117,113,128,139,154,1463
variance,0,5,11,0,0,10,0,8,15,13,26,31,24,47,58,46,47,33,50,70,80,79,86,130,93,102,80,122,195,1461
without,0,0,0,6,6,7,0,0,9,11,9,14,19,21,30,34,41,49,39,50,44,53,90,118,133,123,140,177,237,1460
default,0,0,0,0,0,0,0,14,0,28,0,33,49,87,82,81,119,67,63,70,97,81,84,98,62,71,79,77,117,1459
law,5,9,9,24,34,27,57,46,71,51,43,48,31,53,45,60,46,64,45,76,59,57,53,69,83,50,63,68,95,1441
conditional,0,0,0,0,12,8,0,0,12,22,11,24,22,49,47,46,51,74,36,65,64,62,84,105,113,150,103,133,144,1437
loss,0,0,0,0,0,6,0,0,0,11,9,9,25,47,39,33,44,47,46,57,44,53,75,106,140,120,129,187,201,1428
size,0,0,0,0,12,14,0,22,23,23,33,29,18,43,37,43,51,48,63,78,75,63,83,110,100,103,111,113,131,1426
existence,0,0,0,0,0,7,12,0,15,16,20,36,39,39,51,52,72,75,94,89,63,85,81,92,75,92,107,100,109,1421
found,0,0,7,8,13,18,23,15,38,35,19,31,26,34,34,52,57,44,49,61,59,51,87,129,127,104,118,106,75,1420
better,0,0,0,0,0,0,0,0,7,0,11,8,11,7,22,37,31,39,40,54,44,65,106,152,163,155,154,162,151,1419
game,0,0,0,7,11,11,0,13,26,15,31,22,33,37,25,40,40,56,73,53,58,78,102,95,107,76,121,166,117,1413
space,0,0,0,0,0,0,0,0,0,13,24,20,10,18,39,32,40,57,59,78,97,77,76,116,115,131,125,142,139,1408
often,0,0,0,0,0,0,0,5,0,5,10,9,10,10,17,21,43,25,40,42,32,61,72,103,114,128,135,224,297,1403
theoretical,0,0,0,0,6,9,0,0,6,15,7,25,16,21,32,32,49,46,43,52,47,67,63,98,115,111,138,180,224,1402
design,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,18,16,31,20,29,43,77,99,175,161,153,198,351,1398
differential,0,0,0,0,0,6,0,0,7,16,16,24,26,43,38,59,47,64,74,76,57,75,94,119,99,83,109,126,134,1392
regression,0,0,0,0,0,0,0,0,0,12,6,11,0,0,16,16,17,49,33,24,38,85,103,151,140,127,177,182,204,1391
public,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,25,40,12,21,19,29,44,73,126,199,134,180,196,254,1376
possible,0,0,7,9,0,6,0,7,8,19,23,23,29,45,36,46,60,75,71,60,76,74,103,109,108,109,91,103,74,1371
relationship,0,0,0,0,0,0,0,7,0,7,8,21,16,14,19,36,37,33,36,46,54,56,85,110,164,130,145,146,199,1369
apply,0,0,0,0,0,0,0,13,6,15,15,12,18,20,33,46,38,40,62,52,56,72,89,105,122,124,139,133,155,1365
selection,0,0,0,0,0,0,0,0,0,9,12,7,13,11,23,28,28,33,38,60,58,59,79,102,112,122,177,172,222,1365
production,0,0,0,0,0,0,0,0,0,7,0,0,23,22,15,23,10,28,39,59,54,37,72,132,161,103,152,154,274,1365
decision,0,0,0,0,0,0,0,0,0,5,12,9,11,17,0,30,46,37,36,25,47,63,88,160,132,122,129,215,180,1364
negative,0,0,0,0,0,0,9,0,0,14,13,13,13,52,33,26,33,33,40,51,51,61,62,148,146,129,146,110,167,1350
agent,0,0,0,0,0,0,22,17,17,18,27,37,25,16,31,18,28,45,32,48,40,60,82,81,133,93,136,157,181,1344
times,0,0,0,9,7,12,10,20,16,31,22,47,38,48,43,56,61,44,43,49,70,68,56,84,99,87,89,108,116,1333
relative,0,0,0,5,0,0,0,5,7,0,21,23,24,11,40,30,23,32,36,47,52,85,78,126,99,123,131,132,200,1330
context,0,0,0,0,0,0,0,0,0,8,13,14,17,29,37,24,37,37,31,45,43,57,71,109,128,115,162,155,195,1327
policies,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,23,20,29,19,28,35,22,62,164,172,142,159,160,255,1318
moreover,0,0,0,0,0,0,0,0,7,10,11,12,15,22,32,24,41,44,56,56,64,77,91,105,126,106,120,167,129,1315
current,0,0,0,0,0,0,0,0,0,0,9,17,18,24,18,19,38,36,47,42,38,55,79,107,138,103,153,186,187,1314
obtain,0,0,0,0,0,7,5,8,11,21,15,22,33,42,46,45,55,73,67,53,73,76,87,110,104,91,86,105,78,1313
identify,0,0,0,0,0,6,0,0,0,9,0,7,14,26,13,21,25,29,39,37,30,57,71,98,135,115,129,195,248,1304
consumption,0,0,0,0,0,0,0,0,0,0,29,17,28,19,34,38,16,57,32,69,25,63,59,133,140,120,96,153,175,1303
human,0,0,0,0,0,0,0,0,0,0,9,9,5,6,14,19,15,13,21,13,18,60,27,99,128,104,179,257,304,1300
thus,0,0,0,0,5,5,10,0,8,9,13,14,22,27,25,29,49,45,41,45,47,76,90,117,127,123,122,125,117,1291
covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,360,179,129,90,130,1290
prove,0,0,0,0,0,0,0,0,0,16,20,21,24,32,45,54,54,61,76,69,80,89,75,87,113,80,112,87,92,1287
finite,0,0,0,0,12,10,0,0,15,27,27,29,22,37,48,51,52,67,63,93,69,104,86,99,87,68,79,70,70,1285
discuss,0,0,9,0,10,0,8,9,15,25,19,31,28,28,28,48,50,71,57,65,58,49,82,99,121,78,101,101,95,1285
developed,0,0,5,5,5,0,12,7,12,16,17,25,41,27,29,38,34,43,56,62,57,50,69,97,114,93,110,122,136,1282
lower,0,0,0,0,0,0,0,7,0,11,5,7,20,18,31,16,30,23,50,38,39,52,47,135,148,106,133,147,215,1278
decisions,0,0,0,0,0,0,0,0,0,0,7,9,10,0,9,13,25,17,21,31,34,41,73,84,134,107,163,219,274,1271
point,0,0,0,8,11,0,13,8,20,15,23,20,24,24,26,27,55,62,60,67,73,59,83,108,91,84,101,88,121,1271
shown,0,9,0,6,11,12,10,11,17,13,27,24,27,44,54,52,51,71,58,57,57,52,64,95,108,84,90,105,61,1270
cases,0,0,0,0,8,10,7,6,15,17,10,25,13,27,37,36,48,46,46,67,53,53,62,153,110,87,90,108,134,1268
parameter,0,0,0,0,0,7,7,9,14,10,24,26,31,27,36,54,34,71,66,61,68,72,69,96,88,86,78,98,131,1263
approximation,0,0,0,0,0,0,10,0,0,5,20,16,26,51,42,38,43,61,56,62,75,70,102,95,96,92,93,104,104,1261
shows,0,0,0,0,6,9,8,14,19,18,10,17,16,22,27,21,38,39,40,35,33,46,88,121,123,103,117,121,167,1258
diffusion,0,0,0,5,0,6,11,8,10,40,21,35,23,55,33,58,64,53,57,50,55,50,61,71,70,69,66,131,151,1253
short,0,0,7,0,8,0,11,10,9,23,26,16,11,39,28,49,50,55,47,70,61,59,66,103,107,73,96,98,127,1249
dependence,0,0,0,0,0,15,7,11,18,23,32,28,24,25,38,31,45,72,60,68,55,46,60,79,82,90,102,81,151,1243
evolution,0,0,0,0,10,14,7,15,16,22,22,54,34,30,43,31,38,60,58,47,54,73,83,82,76,80,102,94,98,1243
term,0,0,0,0,8,20,11,12,7,15,19,37,21,29,38,34,48,63,57,47,42,73,84,85,89,91,67,93,143,1233
methodology,0,0,0,0,0,0,0,6,0,0,9,13,16,22,27,22,44,45,43,54,40,53,84,113,106,86,144,157,147,1231
risks,0,0,0,0,0,0,0,0,0,0,0,5,16,15,24,17,37,35,43,26,27,42,51,97,108,101,167,200,213,1224
setting,0,0,0,0,0,0,0,0,5,7,10,13,13,35,33,27,41,63,38,49,59,69,80,124,107,115,86,113,136,1223
quantum,0,0,0,0,0,15,0,0,0,0,30,0,20,27,15,36,21,28,38,17,29,48,49,120,84,124,211,129,177,1218
matrix,0,0,0,0,16,0,11,0,33,28,36,39,22,47,35,42,51,51,51,64,57,62,67,86,98,81,67,84,82,1210
business,0,0,0,0,0,0,0,6,13,8,11,13,14,20,17,26,31,20,42,19,36,47,64,138,128,111,135,162,148,1209
furthermore,0,0,0,0,0,0,7,6,0,8,20,11,19,22,15,25,34,33,39,29,42,65,64,94,105,101,146,159,164,1208
companies,0,0,0,10,0,0,0,20,15,0,0,8,8,28,10,19,35,19,35,31,36,46,76,123,118,152,142,156,119,1206
arbitrage,0,0,17,0,0,8,5,0,10,9,27,30,31,34,30,50,56,76,53,31,38,45,78,103,79,54,80,128,133,1205
experiments,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,11,18,17,31,32,41,41,67,99,115,111,137,203,252,1204
supply,0,0,0,0,0,0,0,0,0,0,0,9,11,0,12,13,17,10,30,22,13,34,78,126,143,123,155,160,247,1203
way,0,0,0,9,6,0,0,0,9,17,15,23,21,29,31,43,48,45,55,52,36,63,95,98,131,82,116,96,79,1199
examples,0,0,0,0,0,0,0,0,5,14,20,14,31,43,43,35,61,75,69,62,55,62,81,82,86,85,89,96,90,1198
known,0,0,0,0,0,5,0,0,11,16,15,20,33,30,33,41,59,53,52,49,50,65,80,98,105,87,108,93,91,1194
ratio,0,0,0,0,0,7,0,0,8,6,18,12,13,20,35,26,34,43,41,44,46,58,82,113,97,86,98,139,163,1189
historical,0,0,0,0,0,5,0,0,0,7,0,12,12,14,16,19,17,42,36,30,39,42,60,94,127,130,146,154,187,1189
specific,0,0,0,0,0,0,5,0,6,7,9,13,15,14,28,19,29,44,33,33,36,50,66,109,118,102,116,170,159,1181
compare,0,0,0,0,7,0,10,0,8,16,16,16,13,28,31,25,31,36,52,38,49,51,76,108,112,94,102,117,143,1179
suggest,0,0,0,0,0,0,5,13,5,5,10,8,13,23,21,16,19,25,37,21,31,52,73,115,118,92,97,146,231,1176
available,0,0,0,0,0,7,0,0,0,6,9,14,11,19,15,34,29,36,43,53,48,54,83,111,125,88,117,145,129,1176
allocation,0,0,0,0,0,13,0,0,0,8,10,0,6,24,14,0,35,25,43,24,24,49,86,113,121,89,137,132,222,1175
states,0,0,0,0,0,0,0,0,10,7,8,5,16,9,12,24,15,42,48,29,36,61,61,146,149,115,104,101,176,1174
world,0,0,0,0,0,8,0,0,7,0,22,18,23,23,43,44,25,42,55,40,46,54,72,125,138,90,93,85,117,1170
constraints,0,0,0,0,0,0,0,0,19,6,9,11,13,25,33,25,32,55,33,45,53,45,66,106,82,78,94,137,202,1169
type,0,0,0,0,0,0,11,6,12,8,20,32,22,37,27,45,43,54,56,57,55,55,76,85,125,79,90,87,84,1166
considered,0,0,6,5,0,6,0,0,10,20,13,29,19,27,38,45,57,58,58,53,45,68,66,101,103,108,101,81,46,1163
strong,0,0,0,0,5,9,11,10,7,19,17,15,17,8,21,40,31,25,51,46,37,53,65,97,91,103,101,84,197,1160
explicit,0,0,0,0,0,0,5,7,0,20,15,27,23,42,26,37,70,69,66,72,64,58,72,77,61,73,56,86,132,1158
influence,0,0,0,0,0,0,0,0,13,10,11,14,13,17,24,18,23,31,33,32,15,35,62,82,112,86,112,174,239,1156
natural,0,0,0,0,8,0,0,0,8,14,10,10,13,18,18,30,30,24,25,50,35,52,64,97,94,107,140,138,170,1155
mechanism,0,0,0,0,9,9,5,9,10,0,8,17,5,6,17,21,20,25,63,28,26,48,65,59,111,120,105,162,205,1153
corresponding,0,0,0,0,7,9,8,8,20,21,13,19,23,33,32,44,45,46,54,67,70,56,74,98,80,78,89,75,82,1151
carlo,0,0,0,0,0,0,0,0,0,7,15,17,33,42,55,49,50,65,51,56,48,62,66,81,91,72,84,106,101,1151
account,0,0,0,5,0,0,6,7,8,10,23,18,26,26,32,33,52,65,42,42,57,53,100,95,98,86,91,87,83,1145
choice,0,0,0,0,0,0,0,0,8,9,13,11,9,18,24,30,30,35,39,38,28,70,91,98,110,96,110,125,146,1138
consistent,0,0,7,0,6,8,13,12,0,19,14,14,24,21,21,34,35,52,50,42,43,51,52,92,92,74,97,108,156,1137
convergence,0,0,0,0,0,0,0,0,5,0,8,0,28,29,50,35,35,55,52,43,49,51,71,89,86,87,84,126,151,1134
systemic,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,46,58,65,103,71,39,103,117,54,76,67,64,91,149,1133
whether,0,0,0,0,0,0,0,7,5,0,7,0,8,16,17,16,25,38,21,34,24,48,62,98,100,114,129,150,209,1128
electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,17,34,37,24,59,71,76,110,148,105,112,101,197,1128
sector,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,11,16,27,36,36,25,15,74,125,134,104,156,151,194,1128
similar,0,0,0,0,0,5,12,13,20,21,17,19,28,32,38,32,29,50,50,50,55,43,63,82,80,82,89,110,107,1127
could,0,0,0,0,0,0,0,0,6,12,11,11,18,14,12,17,28,28,30,36,42,38,79,130,130,128,118,131,107,1126
monte,0,0,0,0,0,0,0,0,0,7,15,17,33,42,52,43,49,60,47,56,45,62,66,81,90,74,84,106,97,1126
events,0,0,0,0,0,7,0,6,0,8,6,13,19,22,37,37,53,38,31,37,42,51,43,90,106,92,104,130,154,1126
banks,0,0,0,0,0,0,0,0,0,0,0,0,21,11,24,40,53,81,57,67,46,38,50,136,84,67,115,107,125,1122
knowledge,0,0,0,0,0,0,0,0,0,12,7,0,9,7,12,15,22,25,29,28,38,37,71,93,118,136,124,154,185,1122
exponential,0,0,0,8,0,8,18,22,33,34,28,41,31,44,54,84,50,51,47,61,57,40,67,60,66,55,40,55,65,1119
less,0,0,0,5,0,0,5,5,8,12,0,9,8,13,10,15,17,26,43,30,26,36,52,112,128,130,130,147,150,1117
critical,0,0,0,10,10,0,11,12,16,14,11,18,14,15,22,26,26,15,24,42,31,50,42,68,71,59,89,149,272,1117
address,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,9,6,23,21,22,30,32,52,58,86,105,156,212,272,1112
low,0,0,0,0,0,7,6,7,0,0,11,16,14,14,26,21,26,37,29,38,38,34,77,104,122,106,105,104,164,1106
levels,0,0,0,0,0,0,0,0,6,7,6,9,12,0,26,11,19,24,40,39,28,50,46,97,138,102,111,147,186,1104
brownian,0,0,0,0,0,9,6,5,5,16,21,27,37,27,30,46,42,47,68,79,98,62,64,75,68,61,70,71,69,1103
daily,0,0,9,13,10,0,18,17,17,35,14,7,6,26,36,24,33,43,28,31,34,30,63,104,87,82,93,103,136,1099
industry,0,0,0,0,0,0,0,0,0,0,0,0,10,6,13,16,20,30,16,28,28,36,84,118,106,110,155,176,146,1098
total,0,0,0,0,0,6,8,8,12,0,7,8,22,20,30,20,24,35,36,46,44,50,83,123,103,87,91,111,122,1096
complexity,0,0,0,0,0,0,0,0,0,0,9,6,20,16,15,22,17,30,59,47,67,46,59,67,88,102,114,145,165,1094
error,0,0,0,0,0,0,0,0,0,11,8,11,11,29,30,31,34,39,45,44,52,50,59,82,85,65,96,119,192,1093
patterns,0,0,0,0,0,0,0,7,6,8,13,10,8,19,13,21,10,12,14,20,28,47,60,99,103,73,117,152,252,1092
correlations,0,0,22,15,19,14,30,35,34,35,39,31,47,36,30,46,46,35,45,51,40,44,40,46,57,48,64,75,68,1092
since,0,0,0,0,0,9,10,0,9,0,5,12,16,20,21,40,34,28,39,47,52,73,79,93,112,115,107,86,84,1091
valuation,0,0,0,12,0,0,0,0,0,0,17,20,36,42,42,58,41,54,50,57,59,49,57,68,84,88,88,62,105,1089
crisis,0,0,0,0,0,0,0,0,0,0,0,19,37,38,42,50,92,69,53,61,58,66,49,118,89,67,55,52,73,1088
making,0,0,0,0,0,0,0,0,0,5,8,0,12,15,10,23,32,24,30,27,34,44,70,94,100,99,134,166,160,1087
implied,0,0,0,0,0,0,0,0,0,22,12,15,36,32,46,75,48,51,51,33,44,57,76,76,80,92,78,75,85,1084
make,0,0,0,0,5,5,6,7,9,0,9,13,12,27,22,29,32,32,42,33,42,42,72,88,134,110,106,106,96,1079
characteristics,0,0,0,0,0,0,0,0,10,6,12,8,15,17,28,16,15,21,23,29,38,58,60,100,125,115,108,128,144,1076
stability,0,0,0,0,0,0,0,0,0,0,8,0,16,24,30,37,43,49,35,37,46,44,55,83,69,82,89,120,208,1075
fluctuations,8,13,18,23,34,32,38,26,31,50,34,40,31,36,20,50,47,22,31,35,42,43,24,48,45,55,50,69,79,1074
representation,0,0,0,0,0,0,0,0,0,8,0,17,16,24,31,43,30,47,71,46,65,63,65,80,87,84,79,102,106,1064
like,0,0,0,0,0,6,0,0,16,21,18,12,15,16,18,20,24,22,29,25,38,39,61,80,90,82,99,173,159,1063
insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,14,14,22,14,49,62,65,71,143,284,295,1060
asymptotic,0,0,0,0,0,0,6,6,10,17,25,25,25,38,49,55,58,57,65,64,65,69,52,54,48,50,52,92,77,1059
derivatives,0,0,0,0,0,0,0,7,0,0,17,17,32,37,25,53,54,37,47,43,65,78,54,75,78,112,76,87,65,1059
understanding,0,0,0,0,0,0,0,0,0,5,9,8,10,11,11,28,19,29,31,28,30,35,46,84,91,73,133,178,198,1057
equity,0,0,0,0,0,0,0,0,0,0,0,5,23,17,31,25,20,26,23,34,39,44,73,97,70,85,115,128,199,1054
effective,0,0,0,0,0,5,0,11,0,7,0,11,12,13,8,12,19,11,23,29,29,30,55,91,99,94,124,170,199,1052
certain,0,0,0,0,6,0,0,10,13,13,17,26,24,25,22,31,57,61,47,42,41,40,72,94,80,68,71,103,87,1050
article,0,0,0,0,0,0,0,0,8,8,5,6,18,17,18,36,56,39,49,35,29,53,56,103,102,95,95,117,102,1047
best,0,0,0,0,0,0,0,0,0,6,9,14,9,17,18,33,23,45,42,50,38,56,95,93,109,88,95,108,95,1043
quantitative,0,0,0,0,0,8,0,6,8,12,0,16,13,10,20,27,28,25,34,26,26,45,43,76,90,75,106,144,204,1042
technology,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,17,19,20,26,12,28,45,85,66,146,100,118,163,179,1041
challenges,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,6,9,9,7,9,30,44,89,79,86,144,243,273,1040
sample,0,0,0,0,0,0,0,0,0,0,6,8,9,26,17,19,40,29,35,43,44,40,80,107,112,114,113,91,106,1039
introduced,0,0,0,7,11,0,9,0,10,21,14,20,26,30,33,32,35,59,54,51,44,53,61,93,64,56,83,88,84,1038
simulations,0,0,0,8,0,10,0,0,11,11,25,14,15,24,26,30,31,37,32,41,29,49,58,83,78,58,93,129,143,1035
reinforcement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,67,80,141,118,173,189,226,1034
increases,0,0,0,0,0,0,0,12,12,8,6,10,16,19,10,21,26,29,32,25,23,35,53,102,81,79,106,136,192,1033
example,0,0,0,0,0,0,0,0,0,9,20,16,20,34,23,36,43,49,67,50,54,74,76,78,84,74,88,75,63,1033
estimates,0,0,0,0,0,0,0,0,0,10,0,11,24,21,35,33,27,24,35,35,22,42,61,98,125,99,83,99,148,1032
support,0,0,0,0,0,0,0,0,6,0,6,0,8,0,12,7,22,21,22,18,42,41,74,94,103,102,133,116,204,1031
variable,0,0,0,0,6,7,0,7,0,13,7,15,17,15,35,31,40,31,53,48,28,33,63,86,102,109,64,92,126,1028
levy,0,0,11,0,0,0,0,11,6,7,9,39,42,63,53,81,63,40,76,44,55,55,78,73,55,51,41,29,39,1021
resulting,0,0,0,0,0,0,6,5,12,0,16,11,17,21,17,25,25,25,30,33,44,44,65,84,91,76,106,110,156,1019
alternative,0,0,0,0,0,0,0,0,5,5,5,7,14,18,32,27,39,29,24,42,31,48,89,85,89,82,105,117,126,1019
economics,0,0,0,0,0,0,7,0,10,11,14,17,20,28,34,22,29,24,35,49,29,57,57,93,69,81,83,106,143,1018
focus,0,0,0,0,0,0,0,0,0,5,10,11,13,16,14,23,25,26,23,25,29,40,52,92,114,78,122,156,142,1016
formula,0,0,0,0,0,6,6,8,8,15,19,21,33,29,35,42,77,32,46,62,71,66,59,65,94,55,56,52,56,1013
single,0,0,0,0,0,8,8,8,10,12,14,23,24,23,32,31,27,28,46,50,35,42,50,91,70,69,80,83,148,1012
increasing,0,0,0,0,0,0,0,9,9,0,10,6,5,10,27,21,13,31,26,37,34,44,54,73,105,93,117,122,165,1011
digital,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,14,0,0,16,16,48,76,91,114,154,196,271,1010
dataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,10,13,9,26,24,51,68,83,106,164,196,239,1010
language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,10,19,25,34,44,179,293,395,1010
leads,0,0,0,0,7,10,0,8,0,7,8,16,20,25,39,38,31,32,39,43,47,54,65,80,69,86,90,86,108,1008
importance,0,0,0,0,0,0,0,0,0,0,10,0,0,15,20,13,25,27,26,34,27,38,58,82,96,89,125,142,180,1007
scheme,0,0,0,0,0,0,0,0,0,0,10,0,26,38,36,35,27,32,44,43,71,61,78,73,103,60,91,94,81,1003
tail,0,0,0,0,12,14,15,12,17,20,14,19,21,36,43,31,36,40,29,34,39,37,64,89,67,67,84,77,83,1000
practical,0,0,0,0,0,0,0,0,0,9,5,7,9,19,17,20,29,23,32,38,26,38,43,50,69,58,114,153,240,999
mathematical,0,0,0,0,0,0,0,0,8,7,12,23,17,31,27,42,33,37,52,70,57,49,56,73,82,60,66,74,121,997
common,0,0,0,0,0,0,0,6,9,16,28,8,10,16,16,33,28,30,32,27,38,49,63,87,96,79,95,96,134,996
improve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,10,13,20,18,40,69,91,122,115,121,179,171,992
longterm,0,0,0,0,0,0,0,0,0,17,6,9,21,13,12,28,31,40,37,29,24,34,68,56,83,51,104,116,210,989
range,0,0,7,0,0,13,11,15,14,12,16,20,19,17,11,26,29,51,35,39,31,38,60,86,82,56,110,88,96,982
presented,0,0,0,5,0,6,7,10,10,8,16,17,25,39,48,40,37,50,47,41,55,51,60,91,65,66,62,71,54,981
driven,0,0,0,0,0,0,0,8,0,13,12,17,20,18,21,31,40,32,35,43,34,54,71,62,70,74,88,96,140,979
central,0,0,0,0,0,0,0,0,7,13,6,13,11,10,9,25,46,24,45,37,38,38,51,80,82,92,87,107,156,977
fixed,0,0,0,9,0,11,0,5,8,8,13,15,20,29,18,29,36,49,44,49,40,48,50,80,70,82,65,72,117,967
illustrate,0,0,0,0,0,0,0,5,0,0,8,10,14,23,29,29,36,44,36,54,49,49,72,77,96,81,81,80,94,967
respect,0,0,0,0,6,0,6,6,0,19,15,24,22,33,31,36,28,41,54,41,51,54,67,76,90,82,46,85,53,966
discrete,0,0,0,0,0,0,7,0,19,16,12,21,16,27,22,30,52,65,40,61,59,72,60,72,59,65,56,63,72,966
flow,0,0,0,0,0,0,0,0,0,0,12,23,25,26,32,17,29,45,52,56,31,32,70,57,81,59,85,89,145,966
field,0,0,0,0,0,12,9,0,9,5,0,5,8,6,8,16,16,26,19,31,37,62,67,67,106,78,122,137,120,966
traders,0,0,6,11,0,0,18,0,11,21,0,19,16,20,14,31,33,33,22,46,34,40,64,78,68,59,81,133,105,963
modelling,0,0,0,0,0,0,0,6,0,8,9,10,26,32,18,23,37,34,43,44,27,55,70,91,96,60,82,73,116,960
solve,0,0,0,0,0,0,0,0,0,0,6,10,9,28,24,25,28,48,34,36,45,59,79,92,89,84,97,93,73,959
need,0,0,0,0,0,0,0,0,0,0,5,7,6,8,19,16,22,16,28,37,25,41,53,90,84,74,111,151,164,957
preferences,0,0,0,0,0,0,0,0,0,9,9,0,19,0,8,9,27,20,31,19,22,45,66,66,98,97,104,154,153,956
multivariate,0,0,0,0,0,0,0,0,0,0,14,21,6,22,32,28,44,26,56,43,43,54,69,112,68,76,82,73,85,954
inequality,0,0,0,0,0,0,0,0,0,0,7,0,13,23,6,15,8,23,42,57,36,37,41,93,136,84,72,107,151,951
bitcoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,75,69,109,113,128,108,111,108,102,950
assumptions,0,0,0,0,0,0,0,0,0,0,10,10,19,26,21,34,37,39,38,47,38,48,59,77,92,66,88,90,107,946
presence,0,6,5,0,8,0,0,7,8,12,11,19,11,21,30,38,33,47,29,41,43,34,60,78,94,65,75,81,90,946
implications,0,0,0,0,0,0,0,0,0,6,6,9,0,8,11,13,18,16,22,20,16,35,57,70,99,70,142,154,172,944
population,0,0,0,0,0,0,0,0,0,8,10,32,9,9,9,11,10,19,42,39,40,40,61,116,154,84,82,73,96,944
fundamental,0,0,0,12,7,0,0,0,0,8,11,10,16,19,30,20,30,43,38,37,38,55,64,56,76,78,84,85,127,944
addition,0,0,0,0,0,0,0,6,7,9,9,18,16,11,25,26,13,25,35,21,31,53,49,105,112,95,95,92,90,943
particularly,0,0,0,0,0,0,0,6,0,0,7,0,9,15,6,18,12,17,24,16,14,25,37,64,77,64,120,183,228,942
construct,0,0,0,0,0,0,0,0,7,5,5,10,18,20,19,19,37,25,43,35,44,62,58,62,69,82,88,100,129,937
derived,0,0,6,0,0,0,0,10,8,10,15,12,18,34,34,26,42,36,36,39,44,41,70,59,67,65,66,102,94,934
quality,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,10,14,24,21,17,33,48,78,124,99,128,112,195,932
noise,0,0,0,6,20,21,11,28,24,22,14,21,12,27,31,28,23,24,29,31,38,46,40,67,65,50,55,87,112,932
volume,0,0,0,7,0,10,10,10,18,6,9,14,9,34,25,23,45,39,41,36,32,45,71,53,58,80,77,85,94,931
products,0,0,0,0,0,0,0,0,7,0,15,0,18,17,19,18,15,24,59,62,39,54,55,53,91,69,87,91,137,930
computational,0,0,0,0,0,5,0,0,0,0,0,0,10,19,20,17,17,36,26,28,39,58,63,79,61,87,85,121,158,929
generalized,0,0,0,0,0,12,0,8,15,14,0,21,19,27,36,34,27,38,39,43,29,46,65,83,83,84,62,80,64,929
give,0,0,0,0,7,0,0,8,9,23,27,22,35,42,34,40,67,59,52,49,41,54,47,64,76,51,44,36,41,928
shocks,0,0,0,0,0,0,0,0,0,0,0,0,13,16,15,10,16,23,34,35,20,43,45,82,98,80,81,112,204,927
transition,0,0,0,5,0,0,0,10,11,18,14,24,18,12,23,17,41,22,31,42,39,28,28,50,81,89,75,113,135,926
bank,0,0,0,0,0,0,0,0,0,0,0,0,20,16,13,30,43,60,50,12,44,35,36,102,81,59,92,108,125,926
martingale,0,0,0,0,0,0,0,0,9,21,16,36,25,28,36,41,47,71,56,52,48,52,63,62,59,39,50,71,43,925
previous,0,0,0,0,0,7,11,9,8,12,8,12,19,12,20,22,28,29,24,42,27,38,64,87,96,81,84,92,93,925
condition,0,0,0,0,6,0,6,0,0,13,11,17,21,23,40,30,45,48,35,57,39,47,55,76,60,79,63,61,89,921
density,0,0,0,0,8,8,13,15,16,31,17,19,48,45,49,32,39,40,31,32,52,56,45,69,63,47,53,28,64,920
partial,0,0,0,0,0,0,0,0,0,5,11,8,12,29,21,34,38,48,51,53,36,46,68,71,81,65,61,83,98,919
able,0,0,0,0,8,0,0,0,8,10,11,16,9,26,19,36,47,42,36,45,56,39,54,73,89,98,86,63,46,917
overall,0,0,0,0,0,0,0,0,0,0,0,6,6,12,10,17,19,23,21,22,26,29,57,78,92,81,118,133,166,916
examine,0,0,0,0,0,0,0,0,0,0,0,10,9,15,11,14,15,27,21,24,17,37,59,88,84,78,99,128,180,916
