,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
energy,0,0,0,0,0,0,0,0,9,6,0,7,10,16,15,48,29,34,32,54,44,77,76,199,253,173,274,247,409,2012
forecasting,0,0,0,0,0,0,0,0,10,0,0,18,6,9,17,31,19,42,29,68,62,69,103,193,160,149,267,367,391,2010
income,0,0,0,24,0,28,23,32,34,21,16,37,27,32,20,46,23,77,52,113,62,48,62,188,263,166,153,190,255,1992
wealth,0,0,0,0,20,0,41,32,53,48,71,52,59,62,60,72,59,135,81,102,69,96,87,146,162,109,129,114,131,1990
many,0,0,0,8,7,6,7,8,7,24,35,27,25,42,37,49,73,61,92,88,77,80,126,197,196,189,184,189,147,1981
neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,35,89,187,229,223,245,271,364,292,1974
due,0,0,0,0,8,10,0,7,14,14,15,15,24,25,35,45,53,49,66,68,60,104,106,148,204,181,209,241,270,1971
firms,0,0,0,0,0,0,0,0,22,15,31,21,33,46,34,32,35,35,84,53,65,68,80,177,148,156,207,227,394,1963
literature,0,0,0,0,0,0,0,0,0,11,18,15,23,20,28,31,62,62,55,74,74,92,145,171,171,176,233,270,230,1961
machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,9,9,9,8,57,82,139,256,213,246,237,340,319,1946
introduce,0,0,0,5,8,0,17,6,13,17,17,25,27,27,51,57,65,69,81,73,82,89,125,141,112,142,174,223,296,1942
including,0,0,0,0,0,0,0,0,9,0,18,25,22,22,36,40,51,53,45,50,47,65,92,158,160,130,215,335,369,1942
higher,0,0,0,0,0,0,0,0,18,10,14,6,11,18,27,26,49,35,50,57,52,52,86,181,219,203,184,263,373,1934
uncertainty,0,0,0,0,0,0,0,0,0,0,14,8,20,30,18,37,56,61,65,101,82,95,129,186,153,176,159,217,321,1928
real,0,0,5,11,0,16,11,17,13,32,33,44,35,59,53,55,70,58,97,59,59,97,97,180,158,134,157,192,185,1927
estimation,0,0,0,0,0,0,0,10,6,11,24,39,37,42,58,45,60,76,58,90,82,94,128,144,177,156,166,210,206,1919
linear,0,0,0,0,6,0,11,13,11,22,24,53,41,47,48,50,60,104,102,71,82,80,130,111,110,130,200,167,210,1883
average,0,0,0,11,13,9,15,15,35,33,20,32,28,51,40,53,45,66,67,70,61,53,111,159,152,151,169,196,227,1882
simple,0,11,6,19,9,23,26,16,23,29,37,46,54,55,42,69,90,80,84,83,87,103,125,148,135,102,115,110,150,1877
local,0,0,0,0,0,0,0,0,12,15,45,15,39,25,49,74,77,88,78,83,57,84,108,181,135,176,144,163,224,1872
important,0,0,0,0,6,0,10,0,9,21,10,15,17,28,37,57,51,68,69,91,63,118,131,185,233,152,150,171,162,1854
changes,0,0,6,0,18,8,20,16,15,29,19,22,31,32,39,50,48,58,50,74,51,92,90,156,187,151,194,184,211,1851
